alphas,errors
1.000000000000001062e-02,9.926494071733624747e-01
1.291549665014885342e-02,9.905114345279084631e-01
1.668100537200059921e-02,9.877535551952669746e-01
2.154434690031885660e-02,9.841973399985073367e-01
2.782559402207127400e-02,9.796139020335181691e-01
3.593813663804629188e-02,9.737102574478770922e-01
4.641588833612782239e-02,9.661124572135286748e-01
5.994842503189414668e-02,9.563450843346864572e-01
7.742636826811277739e-02,9.438069903414717521e-01
1.000000000000000472e-01,9.277438251803483693e-01
1.291549665014884718e-01,9.072193533469037341e-01
1.668100537200059852e-01,8.810904708999314217e-01
2.154434690031884481e-01,8.479965259396549104e-01
2.782559402207125943e-01,8.063842736218045371e-01
3.593813663804629188e-01,7.546091596494310938e-01
4.641588833612779741e-01,6.911851771553207957e-01
5.994842503189411476e-01,6.152946581396698811e-01
7.742636826811273298e-01,5.276719864548691241e-01
1.000000000000000000e+00,4.317890933382140251e-01
1.291549665014884107e+00,3.346453272575546922e-01
1.668100537200059241e+00,2.456564679454524835e-01
2.154434690031884259e+00,1.729107659144255571e-01
2.782559402207125832e+00,1.193328604803516324e-01
3.593813663804625858e+00,8.254154037736438632e-02
4.641588833612777520e+00,5.795185760619192550e-02
5.994842503189408589e+00,4.144278490129016390e-02
7.742636826811269302e+00,3.014467626315187054e-02
1.000000000000000000e+01,2.223730090674336246e-02
1.291549665014884063e+01,1.658752758997228405e-02
1.668100537200057332e+01,1.248022090037581577e-02
2.154434690031882127e+01,9.452338887972588921e-03
2.782559402207122901e+01,7.195528500207215572e-03
3.593813663804625946e+01,5.498935484763434189e-03
4.641588833612777165e+01,4.214965889570487789e-03
5.994842503189408944e+01,3.238236382728576501e-03
7.742636826811269657e+01,2.492252416945284210e-03
9.999999999999990052e+01,1.920737803559724455e-03
1.291549665014883885e+02,1.481839663967310372e-03
1.668100537200057545e+02,1.144161095560924934e-03
2.154434690031879995e+02,8.839865841445693206e-04
2.782559402207123185e+02,6.833053075068207249e-04
3.593813663804622252e+02,5.283804677822523388e-04
4.641588833612777307e+02,4.087000167498633374e-04
5.994842503189402123e+02,3.161986281896567164e-04
7.742636826811269657e+02,2.446756158480667409e-04
9.999999999999989768e+02,1.893562899355494267e-04
