alphas,errors
1.000000000000001062e-02,9.947912684449539134e-01
1.291549665014885342e-02,9.932751269831013863e-01
1.668100537200059921e-02,9.913186010784914570e-01
2.154434690031885660e-02,9.887943976175169736e-01
2.782559402207127400e-02,9.855388479215533293e-01
3.593813663804629188e-02,9.813417960948460639e-01
4.641588833612782239e-02,9.759338708068517887e-01
5.994842503189414668e-02,9.689706013491334868e-01
7.742636826811277739e-02,9.600128316367013692e-01
1.000000000000000472e-01,9.485029874311182718e-01
1.291549665014884718e-01,9.337370483117259923e-01
1.668100537200059852e-01,9.148327782372571715e-01
2.154434690031884481e-01,8.906962035393723998e-01
2.782559402207125943e-01,8.599911195954067500e-01
3.593813663804629188e-01,8.211217917782791531e-01
4.641588833612779741e-01,7.722493836209550766e-01
5.994842503189411476e-01,7.113834057756973639e-01
7.742636826811273298e-01,6.366338311714890841e-01
1.000000000000000000e+00,5.468123070816339748e-01
1.291549665014884107e+00,4.428125709698000900e-01
1.668100537200059241e+00,3.305576366966984647e-01
2.154434690031884259e+00,2.248185185253779306e-01
2.782559402207125832e+00,1.441041935970723831e-01
3.593813663804625858e+00,9.280511303610361473e-02
4.641588833612777520e+00,6.200382288834505040e-02
5.994842503189408589e+00,4.298551388221460989e-02
7.742636826811269302e+00,3.067039554110539967e-02
1.000000000000000000e+01,2.234956634453411084e-02
1.291549665014884063e+01,1.653756931254157791e-02
1.668100537200057332e+01,1.237491761697362413e-02
2.154434690031882127e+01,9.337049885794979076e-03
2.782559402207122901e+01,7.088578028621395077e-03
3.593813663804625946e+01,5.406602733479815015e-03
4.641588833612777165e+01,4.138230975579748616e-03
5.994842503189408944e+01,3.175882728263523802e-03
7.742636826811269657e+01,2.442301803723179177e-03
9.999999999999990052e+01,1.881100770927846000e-03
1.291549665014883885e+02,1.450591694474478999e-03
1.668100537200057545e+02,1.119640460101933854e-03
2.154434690031879995e+02,8.648092324570200162e-04
2.782559402207123185e+02,6.683436718981639046e-04
3.593813663804622252e+02,5.167290903413945813e-04
4.641588833612777307e+02,3.996389061460270398e-04
5.994842503189402123e+02,3.091592071409188236e-04
7.742636826811269657e+02,2.392110998334917582e-04
9.999999999999989768e+02,1.851168690756299640e-04
