alphas,errors
1.000000000000001062e-02,9.951949501957711997e-01
1.291549665014885342e-02,9.937953537063468623e-01
1.668100537200059921e-02,9.919885844703141276e-01
2.154434690031885660e-02,9.896565200890254932e-01
2.782559402207127400e-02,9.866469944742254361e-01
3.593813663804629188e-02,9.827641380797282888e-01
4.641588833612782239e-02,9.777560815573032027e-01
5.994842503189414668e-02,9.712993771162009571e-01
7.742636826811277739e-02,9.629793883731608828e-01
1.000000000000000472e-01,9.522658310243135027e-01
1.291549665014884718e-01,9.384826622630441095e-01
1.668100537200059852e-01,9.207717437836746566e-01
2.154434690031884481e-01,8.980503767540483073e-01
2.782559402207125943e-01,8.689644263704706661e-01
3.593813663804629188e-01,8.318424890493896218e-01
4.641588833612779741e-01,7.846651621025462209e-01
5.994842503189411476e-01,7.250844272629320963e-01
7.742636826811273298e-01,6.505832423505267803e-01
1.000000000000000000e+00,5.590221958872871877e-01
1.291549665014884107e+00,4.502709233911408315e-01
1.668100537200059241e+00,3.305196665104597198e-01
2.154434690031884259e+00,2.185851439817085851e-01
2.782559402207125832e+00,1.370607571885380516e-01
3.593813663804625858e+00,8.766264801831469278e-02
4.641588833612777520e+00,5.860893222318797058e-02
5.994842503189408589e+00,4.073584556200993134e-02
7.742636826811269302e+00,2.913902375665844424e-02
1.000000000000000000e+01,2.127820527322876742e-02
1.291549665014884063e+01,1.577067874955018212e-02
1.668100537200057332e+01,1.181596651452543334e-02
2.154434690031882127e+01,8.923927002572051848e-03
2.782559402207122901e+01,6.779944421645200947e-03
3.593813663804625946e+01,5.174125227219050771e-03
4.641588833612777165e+01,3.962008740263200934e-03
5.994842503189408944e+01,3.041653522325660219e-03
7.742636826811269657e+01,2.339676666721857146e-03
9.999999999999990052e+01,1.802412782003104397e-03
1.291549665014883885e+02,1.390123740839355193e-03
1.668100537200057545e+02,1.073094231369919882e-03
2.154434690031879995e+02,8.289321613474953665e-04
2.782559402207123185e+02,6.406619980536820691e-04
3.593813663804622252e+02,4.953538988958783307e-04
4.641588833612777307e+02,3.831233839648451323e-04
5.994842503189402123e+02,2.963924905590165082e-04
7.742636826811269657e+02,2.293386639062866550e-04
9.999999999999989768e+02,1.774804155449949405e-04
