alphas,errors
1.000000000000001062e-02,9.918096601592791828e-01
1.291549665014885342e-02,9.894263368817300952e-01
1.668100537200059921e-02,9.863512344122891129e-01
2.154434690031885660e-02,9.823847517238839533e-01
2.782559402207127400e-02,9.772705241874362070e-01
3.593813663804629188e-02,9.706798714335322931e-01
4.641588833612782239e-02,9.621924270085047137e-01
5.994842503189414668e-02,9.512723726869470875e-01
7.742636826811277739e-02,9.372399675520053375e-01
1.000000000000000472e-01,9.192387717864278773e-01
1.291549665014884718e-01,8.962006345604549562e-01
1.668100537200059852e-01,8.668141536584784701e-01
2.154434690031884481e-01,8.295100324903252886e-01
2.782559402207125943e-01,7.824929434079038737e-01
3.593813663804629188e-01,7.238825001028675876e-01
4.641588833612779741e-01,6.520886754829593457e-01
5.994842503189411476e-01,5.666405628926869387e-01
7.742636826811273298e-01,4.697016002079756891e-01
1.000000000000000000e+00,3.679196192286453559e-01
1.291549665014884107e+00,2.723321398768130397e-01
1.668100537200059241e+00,1.934144415325358413e-01
2.154434690031884259e+00,1.349958439824032741e-01
2.782559402207125832e+00,9.443399923516526684e-02
3.593813663804625858e+00,6.688643347699652075e-02
4.641588833612777520e+00,4.811019770391045114e-02
5.994842503189408589e+00,3.511597407721955832e-02
7.742636826811269302e+00,2.595514462965065050e-02
1.000000000000000000e+01,1.938105052623395608e-02
1.291549665014884063e+01,1.458977185991705561e-02
1.668100537200057332e+01,1.105281271381164387e-02
2.154434690031882127e+01,8.414682250680760589e-03
2.782559402207122901e+01,6.430748172612688052e-03
3.593813663804625946e+01,4.929113602246459891e-03
4.641588833612777165e+01,3.786767932800749747e-03
5.994842503189408944e+01,2.914311278137127204e-03
7.742636826811269657e+01,2.245931594812011767e-03
9.999999999999990052e+01,1.732670569407401828e-03
1.291549665014883885e+02,1.337797376018468043e-03
1.668100537200057545e+02,1.033568432420306493e-03
2.154434690031879995e+02,7.989149838947273707e-04
2.782559402207123185e+02,6.177692504354403980e-04
3.593813663804622252e+02,4.778364083026787057e-04
4.641588833612777307e+02,3.696840097608955489e-04
5.994842503189402123e+02,2.860607863273134654e-04
7.742636826811269657e+02,2.213833776680829146e-04
9.999999999999989768e+02,1.713473484716843132e-04
