alphas,errors,lambdas,huber-params
1.000000000000001062e-02,9.961347939191212975e-01,5.525763991018575183e-01,5.499050410062034100e-01
1.176811952434999621e-02,9.954523505498336089e-01,5.520336102760409203e-01,5.493815467415184006e-01
1.384886371393874611e-02,9.946496155160998720e-01,5.514023882932592713e-01,5.487722369579663972e-01
1.629750834620645808e-02,9.937054623448070556e-01,5.506525291209166673e-01,5.480476453299649719e-01
1.917910261672490721e-02,9.925950834932312228e-01,5.497698435958273677e-01,5.472016748689960686e-01
2.257019719633922630e-02,9.912893600922378923e-01,5.487350677412362598e-01,5.462085849616920008e-01
2.656087782946689457e-02,9.897541279892906330e-01,5.475104059199695783e-01,5.450352174532905325e-01
3.125715849688238263e-02,9.879493246200816703e-01,5.460741104446562577e-01,5.436677481124582156e-01
3.678379771828638178e-02,9.858279995374124027e-01,5.443906082353504594e-01,5.420672758117349721e-01
4.328761281083061407e-02,9.833351697891145049e-01,5.424062283700240572e-01,5.401904027629842453e-01
5.094138014816385757e-02,9.804064998910754225e-01,5.400703865277043381e-01,5.379910715998045267e-01
5.994842503189414668e-02,9.769667850854600877e-01,5.373290981265002042e-01,5.354266974763097764e-01
7.054802310718649716e-02,9.729282163325880806e-01,5.341073873035312447e-01,5.324312956314596335e-01
8.302175681319752532e-02,9.681884050954004950e-01,5.303172354737268890e-01,5.289339325052330176e-01
9.770099572992262116e-02,9.626281513862507966e-01,5.258753407102378929e-01,5.248702309479862382e-01
1.149756995397736847e-01,9.561089381304859192e-01,5.206645009299856186e-01,5.201491563971276655e-01
1.353047774579808349e-01,9.484701482645065962e-01,5.145563597709167381e-01,5.146768547602986743e-01
1.592282793341093794e-01,9.395260116126784578e-01,5.074019830694773692e-01,5.083442325258548111e-01
1.873817422860385995e-01,9.290623113918203835e-01,4.990455871122584930e-01,5.010476651786962554e-01
2.205130739903047865e-01,9.168329124379646089e-01,4.893022172371527256e-01,4.926713290982179250e-01
2.595024211399738490e-01,9.025562304217320531e-01,4.779667875445598457e-01,4.830846732178989411e-01
3.053855508833418497e-01,8.859118373220211673e-01,4.648132043457686713e-01,4.721588945857578823e-01
3.593813663804631409e-01,8.665375436097588757e-01,4.496218993897248550e-01,4.597839504398744115e-01
4.229242874389503304e-01,8.440275091088395021e-01,4.321622988261690779e-01,4.458479656789672285e-01
4.977023564332113681e-01,8.179323179769723007e-01,4.122290926082707307e-01,4.302742480722606122e-01
5.857020818056670741e-01,7.877625898331030996e-01,3.896333587547282651e-01,4.130010732817297470e-01
6.892612104349702395e-01,7.529988176754414120e-01,3.642664241763630129e-01,3.940359879441142077e-01
8.111308307896876180e-01,7.131121131542830227e-01,3.361198560763457577e-01,3.734611198076235317e-01
9.545484566618347433e-01,6.676040127208526798e-01,3.053373147586677661e-01,3.514761837990820759e-01
1.123324032978028741e+00,6.160795346110512494e-01,2.722517379309505881e-01,3.284061348797947533e-01
1.321941148466030169e+00,5.583772844444051531e-01,2.374351022325792149e-01,3.047796658570879891e-01
1.555676143930473820e+00,4.947924257522235969e-01,2.017103046240973363e-01,2.813734566001033777e-01
1.830738280295369780e+00,4.264293874684850216e-01,1.661398173540974965e-01,2.592783441232720532e-01
2.154434690031884259e+00,3.556576450124915301e-01,1.318609756508147268e-01,2.398862679300490797e-01
2.535364493970114097e+00,2.863958298363014077e-01,9.977700928571670014e-02,2.246834165201199163e-01
2.983647240283340274e+00,2.235347851903404237e-01,7.010004475148343128e-02,2.147472223715447270e-01
3.511191734215134641e+00,1.710691309177392316e-01,4.208109198001467460e-02,2.101091132084555169e-01
4.132012400115338657e+00,1.302741244498182294e-01,1.422436879219301370e-02,2.096382910185926873e-01
4.862601580065358142e+00,1.000796369485459358e-01,1.000000000000000251e-05,2.083839799579000340e-01
5.722367659350219959e+00,7.877833222361130261e-02,1.000000000000000251e-05,2.047306415311346828e-01
6.734150657750828550e+00,6.338186290822944713e-02,1.000000000000000251e-05,2.009742239111487194e-01
7.924828983539177862e+00,5.192211347924180487e-02,1.000000000000000251e-05,1.966728628501676068e-01
9.326033468832209294e+00,4.318615446091333965e-02,1.000000000000000251e-05,1.916462671307732624e-01
1.097498765493056716e+01,3.639559745190812379e-02,1.000000000000000251e-05,1.858195402271571872e-01
1.291549665014885306e+01,3.103240155911968223e-02,1.000000000000000251e-05,1.792095257414402787e-01
1.519911082952934755e+01,2.674055763783855788e-02,1.000000000000000251e-05,1.718786556332993765e-01
1.788649529057436993e+01,2.326845959060985791e-02,1.000000000000000251e-05,1.638962460340033234e-01
2.104904144512021702e+01,2.043390372515840880e-02,1.000000000000000251e-05,1.553634112882117946e-01
2.477076355991711409e+01,1.810212413319645108e-02,1.000000000000000251e-05,1.464034600227416272e-01
2.915053062825178642e+01,1.617159197427509021e-02,1.000000000000000251e-05,1.371357280290722847e-01
3.430469286314919231e+01,1.456458317694320215e-02,1.000000000000000251e-05,1.276744763111066217e-01
4.037017258596557667e+01,1.322075750473006295e-02,1.000000000000000251e-05,1.181457470473807336e-01
4.750810162102798273e+01,1.209268899772486527e-02,1.000000000000000251e-05,1.086746153741682125e-01
5.590810182512228721e+01,1.114269233708942153e-02,1.000000000000000251e-05,9.937191121798270854e-02
6.579332246575683030e+01,1.034052811402474958e-02,1.000000000000000251e-05,9.033961042452001711e-02
7.742636826811278183e+01,9.661717528955948708e-03,1.000000000000001268e-05,8.165876632870824881e-02
9.111627561154895716e+01,9.086286534248921853e-03,1.000000000000000251e-05,7.340109160289622070e-02
1.072267222010324303e+02,8.597818911165511224e-03,1.000000000000000251e-05,6.563793834791945003e-02
1.261856883066022306e+02,8.182734383210599205e-03,1.000000000000000251e-05,5.840521581336875073e-02
1.484968262254465117e+02,7.829733004103944793e-03,1.000000000000000251e-05,5.172186083501529447e-02
1.747528400007684866e+02,7.529363735968352955e-03,1.000000000000000251e-05,4.560384276811049742e-02
2.056512308348653448e+02,7.273686606656726283e-03,1.000000000000000251e-05,4.004062928803264754e-02
2.420128264794385871e+02,7.056005897701389529e-03,1.000000000000000251e-05,3.503278938249940189e-02
2.848035868435802058e+02,6.870657593148088438e-03,1.000000000000000251e-05,3.055180099428211199e-02
3.351602650938844477e+02,6.712838518819319589e-03,1.000000000000000251e-05,2.656179546280184808e-02
3.944206059437660201e+02,6.578467733701298670e-03,1.000000000000000251e-05,2.303776280443410249e-02
4.641588833612777307e+02,6.464073063824127274e-03,1.000000000000000251e-05,1.994115673645972461e-02
5.462277217684342077e+02,6.366697403009657918e-03,1.000000000000000251e-05,1.722669947993957229e-02
6.428073117284325235e+02,6.283820730447642333e-03,1.000000000000000251e-05,1.486454701339724564e-02
7.564633275546298137e+02,6.213294753117049041e-03,1.000000000000000251e-05,1.281618211018619238e-02
8.902150854450383122e+02,6.153287817066699361e-03,1.000000000000000251e-05,1.104602393430969241e-02
1.047615752789665066e+03,6.102238259726444625e-03,1.000000000000000251e-05,9.517860846928512947e-03
1.232846739442067246e+03,6.058814798445277816e-03,1.000000000000000082e-05,8.213810252197821862e-03
1.450828778495941606e+03,6.021882665024458348e-03,1.000000000000000590e-05,7.099943724813744667e-03
1.707352647470690499e+03,5.990474952483948456e-03,1.000000000000000251e-05,6.154891997524121472e-03
2.009233002565047855e+03,5.963767908459649547e-03,1.000000000000000082e-05,5.343191605642564485e-03
2.364489412645409629e+03,5.941059940942405859e-03,1.000000000000000251e-05,4.664305570470581030e-03
2.782559402207128642e+03,5.921753652137429214e-03,1.000000000000000251e-05,4.089941427909794119e-03
3.274549162877728577e+03,5.905340488042032376e-03,1.000000000000000082e-05,3.604118083504523513e-03
3.853528593710531368e+03,5.891387625568178521e-03,1.000000000000000251e-05,3.194317412917614500e-03
4.534878508128586873e+03,5.879526773924226291e-03,1.000000000000000251e-05,2.848164769567241347e-03
5.336699231206307559e+03,5.869444614232888213e-03,1.000000000000000251e-05,2.555388955289047102e-03
6.280291441834253419e+03,5.860874640669200275e-03,1.000000000000000251e-05,2.306032136749130643e-03
7.390722033525782535e+03,5.853590199644820302e-03,1.000000000000000251e-05,2.086167803459909598e-03
8.697490026177843902e+03,5.847398556338090359e-03,1.000000000000000251e-05,1.903183414323482339e-03
1.023531021899026928e+04,5.842135835382400444e-03,1.000000000000000251e-05,1.742498234650423968e-03
1.204503540258783687e+04,5.837662711131175186e-03,1.000000000000000251e-05,1.600508390748569187e-03
1.417474162926807730e+04,5.833860738835960902e-03,1.000000000000000251e-05,1.471014627633317803e-03
1.668100537200062536e+04,5.830629231526440748e-03,1.000000000000000251e-05,1.358761042015438434e-03
1.963040650040268520e+04,5.827882599665379360e-03,1.000000000000000082e-05,1.264909759319650818e-03
2.310129700083157877e+04,5.825548089638088456e-03,1.000000000000000082e-05,1.171953480851528617e-03
2.718588242732940125e+04,5.823563863632585935e-03,1.000000000000000251e-05,1.092957729961470913e-03
3.199267137797384567e+04,5.821877359313054612e-03,1.000000000000000082e-05,1.015195912792535987e-03
3.764935806792470976e+04,5.820443899937188803e-03,1.000000000000000251e-05,9.528501424441341650e-04
4.430621457583886513e+04,5.819225514442694092e-03,1.000000000000000251e-05,8.930846454473252965e-04
5.214008287999695312e+04,5.818189927540906581e-03,1.000000000000000082e-05,8.351802256871482602e-04
6.135907273413163057e+04,5.817309708952222991e-03,1.000000000000000082e-05,7.807112477070034685e-04
7.220809018385456875e+04,5.816561542812959118e-03,1.000000000000000082e-05,7.363884332596766545e-04
8.497534359086438781e+04,5.815925614426564749e-03,1.000000000000000251e-05,6.896042633354926461e-04
1.000000000000000000e+05,5.815385080967905296e-03,1.000000000000000251e-05,6.524692435437861888e-04
