alphas,errors,lambdas
1.000000000000001062e-02,9.966256301795203276e-01,1.403613339419280237e+00
1.176811952434999621e-02,9.960293039257407388e-01,1.403161586341755918e+00
1.384886371393874611e-02,9.953276568293474291e-01,1.402632704690020216e+00
1.629750834620645808e-02,9.945021120354738953e-01,1.402004657728584291e+00
1.917910261672490721e-02,9.935308255671998490e-01,1.401271936273575491e+00
2.257019719633922630e-02,9.923881154655521675e-01,1.400401485221760556e+00
2.656087782946689457e-02,9.910437926618996807e-01,1.399382286205395065e+00
3.125715849688238263e-02,9.894623772658593941e-01,1.398181284121245316e+00
3.678379771828638178e-02,9.876021814924504927e-01,1.396770933049950258e+00
4.328761281083061407e-02,9.854142377374882633e-01,1.395101650336659560e+00
5.094138014816385757e-02,9.828410473679474180e-01,1.393140380878139961e+00
5.994842503189414668e-02,9.798151226980239548e-01,1.390832032835668475e+00
7.054802310718649716e-02,9.762572915109057892e-01,1.388116005186651236e+00
8.302175681319752532e-02,9.720747305999046795e-01,1.384909660173003765e+00
9.770099572992262116e-02,9.671586929669450106e-01,1.381135869220515566e+00
1.149756995397736847e-01,9.613818895718826418e-01,1.376684448651740666e+00
1.353047774579808349e-01,9.545954962195594140e-01,1.371439705605362214e+00
1.592282793341093794e-01,9.466257483939086725e-01,1.365252892116829209e+00
1.873817422860385995e-01,9.372701127473341831e-01,1.357958732669975799e+00
2.205130739903047865e-01,9.262930412939023306e-01,1.349347878277654456e+00
2.595024211399738490e-01,9.134213570620716149e-01,1.339183434033359710e+00
3.053855508833418497e-01,8.983394081774485063e-01,1.327178922375735315e+00
3.593813663804631409e-01,8.806842369048812902e-01,1.312992773904701815e+00
4.229242874389503304e-01,8.600412639209402688e-01,1.296217309013711461e+00
4.977023564332113681e-01,8.359413407448730293e-01,1.276367719522008670e+00
5.857020818056670741e-01,8.078607183931453273e-01,1.252865541123005855e+00
6.892612104349702395e-01,7.752266195834202067e-01,1.225027635016545879e+00
8.111308307896876180e-01,7.374331605289192737e-01,1.192033132805662810e+00
9.545484566618347433e-01,6.938760104693713071e-01,1.152934454864331659e+00
1.123324032978028741e+00,6.440205076193641354e-01,1.106646291969718643e+00
1.321941148466030169e+00,5.875284767437902733e-01,1.051978660405419319e+00
1.555676143930473820e+00,5.244834175258265008e-01,9.877636131905171979e-01
1.830738280295369780e+00,4.557610244535252875e-01,9.131472268248143065e-01
2.154434690031884259e+00,3.835408912595565933e-01,8.281680655954160031e-01
2.535364493970114097e+00,3.117132050386439701e-01,7.345560132382076279e-01
2.983647240283340274e+00,2.454544322530827216e-01,6.361785168315066130e-01
3.511191734215134641e+00,1.893377178118247350e-01,5.378175479764222278e-01
4.132012400115338657e+00,1.451918812959003269e-01,4.424866302510735427e-01
4.862601580065358142e+00,1.119758469223126607e-01,3.499213228295922073e-01
5.722367659350219959e+00,8.735056535795848731e-02,2.574496715339389952e-01
6.734150657750828550e+00,6.901313722582891330e-02,1.614411241923038309e-01
7.924828983539177862e+00,5.517578871616790614e-02,5.811087148445317346e-02
9.326033468832209294e+00,4.458929615740525598e-02,1.000000000000000082e-05
1.097498765493056716e+01,3.646030879285766524e-02,1.000000000000000082e-05
1.291549665014885306e+01,3.011458304306025013e-02,1.000000000000000082e-05
1.519911082952934755e+01,2.508342827456933044e-02,1.000000000000000082e-05
1.788649529057436993e+01,2.104507667190724796e-02,1.000000000000000082e-05
2.104904144512021702e+01,1.777143197595298929e-02,1.000000000000000082e-05
2.477076355991711409e+01,1.509638345870634168e-02,1.000000000000000082e-05
2.915053062825178642e+01,1.289617744330984195e-02,1.000000000000000082e-05
3.430469286314919231e+01,1.107681729769161016e-02,1.000000000000000082e-05
4.037017258596557667e+01,9.565725189163876152e-03,1.000000000000000082e-05
4.750810162102798273e+01,8.306069534727011927e-03,1.000000000000000082e-05
5.590810182512228721e+01,7.252812639543027018e-03,1.000000000000000082e-05
6.579332246575683030e+01,6.369895776084488759e-03,1.000000000000000082e-05
7.742636826811278183e+01,5.628195674509894886e-03,1.000000000000000082e-05
9.111627561154895716e+01,5.004013832057507827e-03,1.000000000000000082e-05
1.072267222010324303e+02,4.477942472305596056e-03,1.000000000000000082e-05
1.261856883066022306e+02,4.034000701073292561e-03,1.000000000000000082e-05
1.484968262254465117e+02,3.658967946065239119e-03,1.000000000000000082e-05
1.747528400007684866e+02,3.341863592541738370e-03,1.000000000000000082e-05
2.056512308348653448e+02,3.073536474725413470e-03,1.000000000000000082e-05
2.420128264794385871e+02,2.846337983423818940e-03,1.000000000000000082e-05
2.848035868435802058e+02,2.653859576305261925e-03,1.000000000000000082e-05
3.351602650938844477e+02,2.490720435387894227e-03,1.000000000000000082e-05
3.944206059437660201e+02,2.352394563112758519e-03,1.000000000000000082e-05
4.641588833612777307e+02,2.235069178355253428e-03,1.000000000000000082e-05
5.462277217684342077e+02,2.135528158849764324e-03,1.000000000000000082e-05
6.428073117284325235e+02,2.051055675447166493e-03,1.000000000000000082e-05
7.564633275546298137e+02,1.979356213453797864e-03,1.000000000000000082e-05
8.902150854450383122e+02,1.918487972570437350e-03,1.000000000000000082e-05
1.047615752789665066e+03,1.866807247071777809e-03,1.000000000000000082e-05
1.232846739442067246e+03,1.822921859921722287e-03,1.000000000000000082e-05
1.450828778495941606e+03,1.785652093114764583e-03,1.000000000000000082e-05
1.707352647470690499e+03,1.753997846838606378e-03,1.000000000000000082e-05
2.009233002565047855e+03,1.727110990549007852e-03,1.000000000000000082e-05
2.364489412645409629e+03,1.704272053458355529e-03,1.000000000000000082e-05
2.782559402207128642e+03,1.684870550457295835e-03,1.000000000000000082e-05
3.274549162877728577e+03,1.668388359926886721e-03,1.000000000000000082e-05
3.853528593710531368e+03,1.654385668043101276e-03,1.000000000000000082e-05
4.534878508128586873e+03,1.642489074668462834e-03,1.000000000000000082e-05
5.336699231206307559e+03,1.632381522152392961e-03,1.000000000000000082e-05
6.280291441834253419e+03,1.623793763145364721e-03,1.000000000000000082e-05
7.390722033525782535e+03,1.616497128985594500e-03,1.000000000000000082e-05
8.697490026177843902e+03,1.610297398056070861e-03,1.000000000000000082e-05
1.023531021899026928e+04,1.605029595094897843e-03,1.000000000000000082e-05
1.204503540258783687e+04,1.600553578887442541e-03,1.000000000000000082e-05
1.417474162926807730e+04,1.596750297942151064e-03,1.000000000000000082e-05
1.668100537200062536e+04,1.593518612382993638e-03,1.000000000000000082e-05
1.963040650040268520e+04,1.590772595964740077e-03,1.000000000000000082e-05
2.310129700083157877e+04,1.588439245353123752e-03,1.000000000000000082e-05
2.718588242732940125e+04,1.586456534948821329e-03,1.000000000000000082e-05
3.199267137797384567e+04,1.584771764949532979e-03,1.000000000000000082e-05
3.764935806792470976e+04,1.583340158331170144e-03,1.000000000000000082e-05
4.430621457583886513e+04,1.582123669139345878e-03,1.000000000000000082e-05
5.214008287999695312e+04,1.581089970202009809e-03,1.000000000000000082e-05
6.135907273413163057e+04,1.580211593204206011e-03,1.000000000000000082e-05
7.220809018385456875e+04,1.579465198161766892e-03,1.000000000000000082e-05
8.497534359086438781e+04,1.578830952783993880e-03,1.000000000000000082e-05
1.000000000000000000e+05,1.578292005197434733e-03,1.000000000000000082e-05
