alphas,errors,lambdas
1.000000000000001062e-02,9.960636712545554161e-01,9.737414902860463961e-01
1.176811952434999621e-02,9.953693832111456530e-01,9.742863124867429114e-01
1.384886371393874611e-02,9.945529814901294952e-01,9.749192676904931965e-01
1.629750834620645808e-02,9.935931170295604353e-01,9.756483679884841997e-01
1.917910261672490721e-02,9.924647547983748153e-01,9.764816254719024258e-01
2.257019719633922630e-02,9.911385554891610772e-01,9.774350643231213276e-01
2.656087782946689457e-02,9.895801570544731085e-01,9.785086845421409052e-01
3.125715849688238263e-02,9.877493450726746449e-01,9.797265224025213382e-01
3.678379771828638178e-02,9.855990957693687715e-01,9.810885779042626265e-01
4.328761281083061407e-02,9.830744754820099907e-01,9.826028631385514966e-01
5.094138014816385757e-02,9.801113789758932882e-01,9.842533539230144957e-01
5.994842503189414668e-02,9.766350880336646112e-01,9.860320381664648970e-01
7.054802310718649716e-02,9.725586311137458528e-01,9.879148795953427431e-01
8.302175681319752532e-02,9.677809248538870035e-01,9.898698298449006838e-01
9.770099572992262116e-02,9.621846791718466907e-01,9.918167680032721201e-01
1.149756995397736847e-01,9.556340503276099518e-01,9.936755731585897866e-01
1.353047774579808349e-01,9.479720316334651065e-01,9.953260639430527856e-01
1.592282793341093794e-01,9.390175815378967172e-01,9.965919743505535777e-01
1.873817422860385995e-01,9.285625044802290340e-01,9.972730021014242219e-01
2.205130739903047865e-01,9.163681338417891675e-01,9.970887240041297339e-01
2.595024211399738490e-01,9.021619087521675073e-01,9.957026322288282660e-01
3.053855508833418497e-01,8.856340271686817811e-01,9.926900859426239787e-01
3.593813663804631409e-01,8.664344899908352771e-01,9.875543354919404937e-01
4.229242874389503304e-01,8.441710932219076424e-01,9.796704377642144745e-01
4.977023564332113681e-01,8.184093036061220738e-01,9.683173045526412004e-01
5.857020818056670741e-01,7.886756388742952595e-01,9.526376421002427097e-01
6.892612104349702395e-01,7.544673040728868685e-01,9.316219269174932371e-01
8.111308307896876180e-01,7.152728109151730296e-01,9.041003936911320427e-01
9.545484566618347433e-01,6.706116889158919570e-01,8.687350231929784616e-01
1.123324032978028741e+00,6.201069796627680653e-01,8.240035180975564533e-01
1.321941148466030169e+00,5.636126922790997140e-01,7.682473755292169582e-01
1.555676143930473820e+00,5.014276828413981590e-01,6.997760442475626785e-01
1.830738280295369780e+00,4.346238429344218002e-01,6.170832511094919148e-01
2.154434690031884259e+00,3.654515501288431167e-01,5.193117023580262615e-01
2.535364493970114097e+00,2.975650543462922126e-01,4.068459783701280363e-01
2.983647240283340274e+00,2.354820912086039719e-01,2.815929568482349321e-01
3.511191734215134641e+00,1.829534958799072797e-01,1.459963256042944579e-01
4.132012400115338657e+00,1.413591740487729620e-01,1.000000000000000082e-05
4.862601580065358142e+00,1.107151970756967696e-01,1.000000000000000082e-05
5.722367659350219959e+00,8.868660390333271692e-02,1.000000000000000082e-05
6.734150657750828550e+00,7.239086097502656081e-02,1.000000000000000082e-05
7.924828983539177862e+00,6.004356634682395111e-02,1.000000000000000082e-05
9.326033468832209294e+00,5.050122071598073248e-02,1.000000000000000082e-05
1.097498765493056716e+01,4.300607066776485077e-02,1.000000000000000082e-05
1.291549665014885306e+01,3.704016573692436864e-02,1.000000000000000082e-05
