alphas,errors,lambdas
1.000000000000001062e-02,9.927151676107059952e-01,3.700002757651619789e-01
1.176811952434999621e-02,9.914301380963429500e-01,3.700002757651619789e-01
1.384886371393874611e-02,9.899190661558460169e-01,3.700002757651619789e-01
1.629750834620645808e-02,9.881424369985001288e-01,3.700002757651619789e-01
1.917910261672490721e-02,9.860539253231326295e-01,3.700002757651619789e-01
2.257019719633922630e-02,9.835992602858771860e-01,3.700002757651619789e-01
2.656087782946689457e-02,9.807149172377965796e-01,3.700002757651619789e-01
3.125715849688238263e-02,9.773266167014815764e-01,3.700002757651619789e-01
3.678379771828638178e-02,9.733476122069043557e-01,3.700002757651619789e-01
4.328761281083061407e-02,9.686767519416327188e-01,3.700002757651619789e-01
5.094138014816385757e-02,9.631963058674634093e-01,3.700002757651619789e-01
5.994842503189414668e-02,9.567695627978007877e-01,3.700002757651619789e-01
7.054802310718649716e-02,9.492382204428323478e-01,3.700002757651619789e-01
8.302175681319752532e-02,9.404196276186083114e-01,3.700002757651619789e-01
9.770099572992262116e-02,9.301039867503113623e-01,3.700002757651619789e-01
1.149756995397736847e-01,9.180517082702591702e-01,3.700002757651619789e-01
1.353047774579808349e-01,9.039912291955177759e-01,3.700002757651619789e-01
1.592282793341093794e-01,8.876178002872059380e-01,3.700002757651619789e-01
1.873817422860385995e-01,8.685940203264742587e-01,3.700002757651619789e-01
2.205130739903047865e-01,8.465533147773167677e-01,3.700002757651619789e-01
2.595024211399738490e-01,8.211081403652695787e-01,3.700002757651619789e-01
3.053855508833418497e-01,7.918655104585010651e-01,3.700002757651619789e-01
3.593813663804631409e-01,7.584534505816756811e-01,3.700002757651619789e-01
4.229242874389503304e-01,7.205630486271523694e-01,3.700002757651619789e-01
4.977023564332113681e-01,6.780112794046155855e-01,3.700002757651619789e-01
5.857020818056670741e-01,6.308283301456287795e-01,3.700002757651619789e-01
6.892612104349702395e-01,5.793669097873273000e-01,3.700002757651619789e-01
8.111308307896876180e-01,5.244159622916797492e-01,3.700002757651619789e-01
9.545484566618347433e-01,4.672755518542457409e-01,3.700002757651619789e-01
1.123324032978028741e+00,4.097236559275239109e-01,3.700002757651619789e-01
1.321941148466030169e+00,3.538119912703983072e-01,3.700002757651619789e-01
1.555676143930473820e+00,3.015041822553561346e-01,3.700002757651619789e-01
1.830738280295369780e+00,2.542905028145656665e-01,3.700002757651619789e-01
2.154434690031884259e+00,2.129622704519236187e-01,3.700002757651619789e-01
2.535364493970114097e+00,1.776289778157496002e-01,3.700002757651619789e-01
