alphas,errors,lambdas
1.000000000000001062e-02,9.954336694850149936e-01,5.314243480807032682e-01
1.176811952434999621e-02,9.946290097903939253e-01,5.319280052320622953e-01
1.384886371393874611e-02,9.936831218469377447e-01,5.325059724549332518e-01
1.629750834620645808e-02,9.925714355331172190e-01,5.331912764477662048e-01
1.917910261672490721e-02,9.912651896901888415e-01,5.339921738851731714e-01
2.257019719633922630e-02,9.897307494718560195e-01,5.349251781163792963e-01
2.656087782946689457e-02,9.879288250820970063e-01,5.360150591652217411e-01
3.125715849688238263e-02,9.858135827323319944e-01,5.372865870555381118e-01
3.678379771828638178e-02,9.833316401505038939e-01,5.387645318111655701e-01
4.328761281083061407e-02,9.804209411369158023e-01,5.404736634559412778e-01
5.094138014816385757e-02,9.770095101034306229e-01,5.424552653629277632e-01
5.994842503189414668e-02,9.730140920238292690e-01,5.447506209051868886e-01
7.054802310718649716e-02,9.683386974204641895e-01,5.473845001065565929e-01
8.302175681319752532e-02,9.628730867710172392e-01,5.504064430147108666e-01
9.770099572992262116e-02,9.564912529585621881e-01,5.538494763281001099e-01
1.149756995397736847e-01,9.490499933889462447e-01,5.577466267451733906e-01
1.353047774579808349e-01,9.403877085548484338e-01,5.621391776389932371e-01
1.592282793341093794e-01,9.303236250188204881e-01,5.670436423587847941e-01
1.873817422860385995e-01,9.186577191792943964e-01,5.724517642299351561e-01
2.205130739903047865e-01,9.051717196454189818e-01,5.783552865778323060e-01
2.595024211399738490e-01,8.896316862455655450e-01,5.846798993309640924e-01
3.053855508833418497e-01,8.717928023243221025e-01,5.913265223939812021e-01
3.593813663804631409e-01,8.514071515188094130e-01,5.981217656000221705e-01
4.229242874389503304e-01,8.282353544112409649e-01,6.048096720361013645e-01
4.977023564332113681e-01,8.020629359947225590e-01,6.110104346700464539e-01
5.857020818056670741e-01,7.727220825243337199e-01,6.162203963504984117e-01
6.892612104349702395e-01,7.401188565181272550e-01,6.197872797830739078e-01
8.111308307896876180e-01,7.042647718117656108e-01,6.208276207842420291e-01
9.545484566618347433e-01,6.653097554544634695e-01,6.182597949797719039e-01
1.123324032978028741e+00,6.235710156464701059e-01,6.107297077332234370e-01
1.321941148466030169e+00,5.795498155430403031e-01,5.965777674474952441e-01
1.555676143930473820e+00,5.339269665543532328e-01,5.738306288902130792e-01
1.830738280295369780e+00,4.875298289471985402e-01,5.401433964714434932e-01
2.154434690031884259e+00,4.412699374203692404e-01,4.927583408706301960e-01
2.535364493970114097e+00,3.960599307131822400e-01,4.285792091081065402e-01
2.983647240283340274e+00,3.527270425308681734e-01,3.439235243067228498e-01
3.511191734215134641e+00,3.119429183198085820e-01,2.346629491602575113e-01
4.132012400115338657e+00,2.741838270991905357e-01,9.605815244116799878e-02
4.862601580065358142e+00,2.401579722020781293e-01,1.000000000000000082e-05
5.722367659350219959e+00,2.128200061096330309e-01,1.000000000000000082e-05
6.734150657750828550e+00,1.911486897209915270e-01,1.000000000000000082e-05
7.924828983539177862e+00,1.737569109822896252e-01,1.000000000000000082e-05
9.326033468832209294e+00,1.596613392231338580e-01,1.000000000000000082e-05
1.097498765493056716e+01,1.481457283331988339e-01,1.000000000000000082e-05
1.291549665014885306e+01,1.386763720123147525e-01,1.000000000000000082e-05
1.519911082952934755e+01,1.308478625803046747e-01,1.000000000000000082e-05
1.788649529057436993e+01,1.243471790197381299e-01,1.000000000000000082e-05
2.104904144512021702e+01,1.189292432340178785e-01,1.000000000000000082e-05
2.477076355991711409e+01,1.143998765042055776e-01,1.000000000000000082e-05
2.915053062825178642e+01,1.106036535791128372e-01,1.000000000000000082e-05
3.430469286314919231e+01,1.074150787543839414e-01,1.000000000000000082e-05
4.037017258596557667e+01,1.047320640937781100e-01,1.000000000000000082e-05
4.750810162102798273e+01,1.024710304954101758e-01,1.000000000000000082e-05
5.590810182512228721e+01,1.005631769171839718e-01,1.000000000000000082e-05
6.579332246575683030e+01,9.895160188835472326e-02,1.000000000000000082e-05
7.742636826811278183e+01,9.758905688887020702e-02,1.000000000000000082e-05
9.111627561154895716e+01,9.643617456781727881e-02,1.000000000000000082e-05
1.072267222010324303e+02,9.546005835808690776e-02,1.000000000000000082e-05
1.261856883066022306e+02,9.463315039103092907e-02,1.000000000000000082e-05
1.484968262254465117e+02,9.393231604762952713e-02,1.000000000000000082e-05
1.747528400007684866e+02,9.333809894906663907e-02,1.000000000000000082e-05
2.056512308348653448e+02,9.283411043280720421e-02,1.000000000000000082e-05
2.420128264794385871e+02,9.240652836665463887e-02,1.000000000000000082e-05
2.848035868435802058e+02,9.204368177737043411e-02,1.000000000000000082e-05
3.351602650938844477e+02,9.173570676946396496e-02,1.000000000000000082e-05
3.944206059437660201e+02,9.147425996904612333e-02,1.000000000000000082e-05
4.641588833612777307e+02,9.125227926840673298e-02,1.000000000000000082e-05
5.462277217684342077e+02,9.106378355928690382e-02,1.000000000000000082e-05
6.428073117284325235e+02,9.090370473639652893e-02,1.000000000000000082e-05
7.564633275546298137e+02,9.076774650727648108e-02,1.000000000000000082e-05
8.902150854450383122e+02,9.065226554017757898e-02,1.000000000000000082e-05
1.047615752789665066e+03,9.055417127770426511e-02,1.000000000000000082e-05
1.232846739442067246e+03,9.047084138488803440e-02,1.000000000000000082e-05
1.450828778495941606e+03,9.040005031968934013e-02,1.000000000000000082e-05
1.707352647470690499e+03,9.033990893713816916e-02,1.000000000000000082e-05
2.009233002565047855e+03,9.028881338503613740e-02,1.000000000000000082e-05
2.364489412645409629e+03,9.024540183451534858e-02,1.000000000000000082e-05
2.782559402207128642e+03,9.020851782457350865e-02,1.000000000000000082e-05
3.274549162877728577e+03,9.017717919538381643e-02,1.000000000000000082e-05
3.853528593710531368e+03,9.015055174797770299e-02,1.000000000000000082e-05
4.534878508128586873e+03,9.012792690382998018e-02,1.000000000000000082e-05
5.336699231206307559e+03,9.010870275156968034e-02,1.000000000000000082e-05
6.280291441834253419e+03,9.009236796340935882e-02,1.000000000000000082e-05
7.390722033525782535e+03,9.007848814398511372e-02,1.000000000000000082e-05
8.697490026177843902e+03,9.006669424172319971e-02,1.000000000000000082e-05
1.023531021899026928e+04,9.005667270964390347e-02,1.000000000000000082e-05
1.204503540258783687e+04,9.004815715045833002e-02,1.000000000000000082e-05
1.417474162926807730e+04,9.004092122127382858e-02,1.000000000000000082e-05
1.668100537200062536e+04,9.003477260746550748e-02,1.000000000000000082e-05
1.963040650040268520e+04,9.002954790419970266e-02,1.000000000000000082e-05
2.310129700083157877e+04,9.002510826861898074e-02,1.000000000000000082e-05
2.718588242732940125e+04,9.002133572644188675e-02,1.000000000000000082e-05
3.199267137797384567e+04,9.001813003433145610e-02,1.000000000000000082e-05
3.764935806792470976e+04,9.001540601429436350e-02,1.000000000000000082e-05
4.430621457583886513e+04,9.001309128901624490e-02,1.000000000000000082e-05
5.214008287999695312e+04,9.001112435777769427e-02,1.000000000000000082e-05
6.135907273413163057e+04,9.000945296168327836e-02,1.000000000000000082e-05
7.220809018385456875e+04,9.000803269468016232e-02,1.000000000000000082e-05
8.497534359086438781e+04,9.000682582338059845e-02,1.000000000000000082e-05
1.000000000000000000e+05,9.000580028429405743e-02,1.000000000000000082e-05
