alphas,errors,lambdas
1.000000000000001062e-02,9.946899196078895500e-01,3.180888562171317879e-01
1.176811952434999621e-02,9.937543579117720238e-01,3.187547217897296892e-01
1.384886371393874611e-02,9.926546541231687781e-01,3.195261514165199657e-01
1.629750834620645808e-02,9.913622753805124699e-01,3.204356263449463782e-01
1.917910261672490721e-02,9.898438310953229236e-01,3.214993871987308349e-01
2.257019719633922630e-02,9.880602853985348544e-01,3.227417949134561148e-01
2.656087782946689457e-02,9.859660573639132952e-01,3.241872104247052189e-01
3.125715849688238263e-02,9.835079993032330714e-01,3.258762352917828897e-01
3.678379771828638178e-02,9.806242454570005540e-01,3.278413507621327216e-01
4.328761281083061407e-02,9.772429271326747990e-01,3.301150380831987530e-01
5.094138014816385757e-02,9.732807565448894360e-01,3.327460191261465416e-01
5.994842503189414668e-02,9.686414913626018031e-01,3.357911360740027940e-01
7.054802310718649716e-02,9.632143065609437560e-01,3.392828701742111597e-01
8.302175681319752532e-02,9.568721217525233413e-01,3.432861839216595490e-01
9.770099572992262116e-02,9.494699629070455504e-01,3.478497991875133533e-01
1.149756995397736847e-01,9.408434809890192652e-01,3.530143175310775927e-01
1.353047774579808349e-01,9.308078092829659145e-01,3.588284608235177142e-01
1.592282793341093794e-01,9.191570232955565967e-01,3.653247103122777562e-01
1.873817422860385995e-01,9.056645742901345830e-01,3.724949456854965146e-01
2.205130739903047865e-01,8.900852045871374685e-01,3.803310466313132299e-01
2.595024211399738490e-01,8.721590259646629928e-01,3.887680506548402137e-01
3.053855508833418497e-01,8.516186322858148028e-01,3.976760327663023675e-01
3.593813663804631409e-01,8.282003176271680589e-01,4.068682257928977197e-01
4.229242874389503304e-01,8.016605981116167179e-01,4.160441781957712193e-01
4.977023564332113681e-01,7.717991948293836391e-01,4.248059946937361442e-01
5.857020818056670741e-01,7.384891983149010075e-01,4.325852534565262086e-01
6.892612104349702395e-01,7.017140036483258125e-01,4.386592467285167496e-01
8.111308307896876180e-01,6.616084158895880751e-01,4.420860183338377047e-01
9.545484566618347433e-01,6.184978939301036815e-01,4.416962433645120201e-01
1.123324032978028741e+00,5.729256963314173223e-01,4.360445063092909246e-01
1.321941148466030169e+00,5.256544782082346323e-01,4.234093010536527646e-01
1.555676143930473820e+00,4.776298687654675357e-01,4.017361886967772966e-01
1.830738280295369780e+00,4.299018736590569656e-01,3.686296772396843169e-01
2.154434690031884259e+00,3.835150910430897842e-01,3.213207403377899007e-01
2.535364493970114097e+00,3.393938434709296015e-01,2.566668173009063469e-01
2.983647240283340274e+00,2.982531441050277898e-01,1.710462490390499968e-01
3.511191734215134641e+00,2.605562257557918482e-01,6.037451868616303813e-02
4.132012400115338657e+00,2.272921063235515682e-01,1.000000000000000082e-05
4.862601580065358142e+00,2.013242951642819634e-01,1.000000000000000082e-05
5.722367659350219959e+00,1.810564416258007014e-01,1.000000000000000082e-05
6.734150657750828550e+00,1.649897353803491118e-01,1.000000000000000082e-05
7.924828983539177862e+00,1.520957978570944835e-01,1.000000000000000082e-05
9.326033468832209294e+00,1.416456061831774527e-01,1.000000000000000082e-05
1.097498765493056716e+01,1.331081490990499994e-01,1.000000000000000082e-05
1.291549665014885306e+01,1.260877463338949678e-01,1.000000000000000082e-05
1.519911082952934755e+01,1.202838369080092562e-01,1.000000000000000082e-05
1.788649529057436993e+01,1.154643522842566661e-01,1.000000000000000082e-05
2.104904144512021702e+01,1.114475966286230246e-01,1.000000000000000082e-05
2.477076355991711409e+01,1.080896095413368396e-01,1.000000000000000082e-05
2.915053062825178642e+01,1.052751611561393297e-01,1.000000000000000082e-05
3.430469286314919231e+01,1.029112117733543830e-01,1.000000000000000082e-05
4.037017258596557667e+01,1.009220751853305842e-01,1.000000000000000082e-05
4.750810162102798273e+01,9.924578741785961000e-02,1.000000000000000082e-05
5.590810182512228721e+01,9.783134067248511201e-02,1.000000000000000082e-05
6.579332246575683030e+01,9.663654948318756155e-02,1.000000000000000082e-05
7.742636826811278183e+01,9.562638424726843667e-02,1.000000000000000082e-05
9.111627561154895716e+01,9.477165897842776410e-02,1.000000000000000082e-05
1.072267222010324303e+02,9.404798478023712605e-02,1.000000000000000082e-05
1.261856883066022306e+02,9.343493076700659650e-02,1.000000000000000082e-05
1.484968262254465117e+02,9.291534536719936455e-02,1.000000000000000082e-05
1.747528400007684866e+02,9.247480389481954610e-02,1.000000000000000082e-05
2.056512308348653448e+02,9.210115629168713625e-02,1.000000000000000082e-05
2.420128264794385871e+02,9.178415499305736525e-02,1.000000000000000082e-05
2.848035868435802058e+02,9.151514735895660557e-02,1.000000000000000082e-05
3.351602650938844477e+02,9.128682048285585715e-02,1.000000000000000082e-05
3.944206059437660201e+02,9.109298874433502391e-02,1.000000000000000082e-05
4.641588833612777307e+02,9.092841642961291271e-02,1.000000000000000082e-05
5.462277217684342077e+02,9.078866925756190476e-02,1.000000000000000082e-05
6.428073117284325235e+02,9.066998983027918513e-02,1.000000000000000082e-05
7.564633275546298137e+02,9.056919295737175801e-02,1.000000000000000082e-05
8.902150854450383122e+02,9.048357754123292906e-02,1.000000000000000082e-05
1.047615752789665066e+03,9.041085230075918133e-02,1.000000000000000082e-05
1.232846739442067246e+03,9.034907308614625876e-02,1.000000000000000082e-05
1.450828778495941606e+03,9.029658992240108262e-02,1.000000000000000082e-05
1.707352647470690499e+03,9.025200223298801561e-02,1.000000000000000082e-05
2.009233002565047855e+03,9.021412095206593484e-02,1.000000000000000082e-05
2.364489412645409629e+03,9.018193644533512021e-02,1.000000000000000082e-05
2.782559402207128642e+03,9.015459133436842798e-02,1.000000000000000082e-05
3.274549162877728577e+03,9.013135746435030349e-02,1.000000000000000082e-05
3.853528593710531368e+03,9.011161637586195816e-02,1.000000000000000082e-05
4.534878508128586873e+03,9.009484274211709831e-02,1.000000000000000082e-05
5.336699231206307559e+03,9.008059031735027311e-02,1.000000000000000082e-05
6.280291441834253419e+03,9.006848001276113180e-02,1.000000000000000082e-05
7.390722033525782535e+03,9.005818977580104523e-02,1.000000000000000082e-05
8.697490026177843902e+03,9.004944599857656051e-02,1.000000000000000082e-05
1.023531021899026928e+04,9.004201622325691545e-02,1.000000000000000082e-05
1.204503540258783687e+04,9.003570294790419482e-02,1.000000000000000082e-05
1.417474162926807730e+04,9.003033836615714769e-02,1.000000000000000082e-05
1.668100537200062536e+04,9.002577989957138982e-02,1.000000000000000082e-05
1.963040650040268520e+04,9.002190640287754952e-02,1.000000000000000082e-05
2.310129700083157877e+04,9.001861494059348878e-02,1.000000000000000082e-05
2.718588242732940125e+04,9.001581804880709470e-02,1.000000000000000082e-05
3.199267137797384567e+04,9.001344140899414370e-02,1.000000000000000082e-05
3.764935806792470976e+04,9.001142187179334009e-02,1.000000000000000082e-05
4.430621457583886513e+04,9.000970577802580586e-02,1.000000000000000082e-05
5.214008287999695312e+04,9.000824753221503549e-02,1.000000000000000082e-05
6.135907273413163057e+04,9.000700839059971869e-02,1.000000000000000082e-05
7.220809018385456875e+04,9.000595543136702403e-02,1.000000000000000082e-05
8.497534359086438781e+04,9.000506067969382684e-02,1.000000000000000082e-05
1.000000000000000000e+05,9.000430036431184000e-02,1.000000000000000082e-05
