alphas,errors,lambdas
1.000000000000001062e-02,9.929769753586712433e-01,6.775971738653271403e-01
1.176811952434999621e-02,9.917382753558064978e-01,6.776376811151665347e-01
1.384886371393874611e-02,9.902817368731633429e-01,6.776781883650060401e-01
1.629750834620645808e-02,9.885692987922010122e-01,6.777267970648134243e-01
1.917910261672490721e-02,9.865563466746104515e-01,6.777916086645566773e-01
2.257019719633922630e-02,9.841906226088010801e-01,6.778564202642999303e-01
2.656087782946689457e-02,9.814109691099656141e-01,6.779293333140110622e-01
3.125715849688238263e-02,9.781458883095200951e-01,6.780184492636579519e-01
3.678379771828638178e-02,9.743118985828079781e-01,6.781156666632727203e-01
4.328761281083061407e-02,9.698116735522872567e-01,6.782290869628233576e-01
5.094138014816385757e-02,9.645319543102096604e-01,6.783506087123418737e-01
5.994842503189414668e-02,9.583412347313073898e-01,6.784883333617961476e-01
7.054802310718649716e-02,9.510872401232526308e-01,6.786341594612183004e-01
8.302175681319752532e-02,9.425942407710463655e-01,6.787880870106084430e-01
9.770099572992262116e-02,9.326602891730684242e-01,6.789339131100307068e-01
1.149756995397736847e-01,9.210545300208194952e-01,6.790797392094529705e-01
1.353047774579808349e-01,9.075148263976146046e-01,6.791931595090036078e-01
1.592282793341093794e-01,8.917460897497018202e-01,6.792579711087468608e-01
1.873817422860385995e-01,8.734198982463604599e-01,6.792417682088109920e-01
2.205130739903047865e-01,8.521762934608856366e-01,6.790878406594208494e-01
2.595024211399738490e-01,8.276290539382971101e-01,6.787313768608331799e-01
3.053855508833418497e-01,7.993763353418122941e-01,6.780751594134331039e-01
3.593813663804631409e-01,7.670193258103619183e-01,6.769895651177342266e-01
4.229242874389503304e-01,7.301925208878887741e-01,6.753044635244106475e-01
4.977023564332113681e-01,6.886101853790957961e-01,6.728092169342971829e-01
5.857020818056670741e-01,6.421340916452984438e-01,6.692364774984526088e-01
6.892612104349702395e-01,5.908665086208595429e-01,6.642864915680645188e-01
8.111308307896876180e-01,5.352671660343455429e-01,6.576433025943850819e-01
9.545484566618347433e-01,4.762794594562365091e-01,6.490395627284735180e-01
1.123324032978028741e+00,4.154253062410813158e-01,6.382970400710359371e-01
1.321941148466030169e+00,3.547933442630692991e-01,6.254967491217513498e-01
1.555676143930473820e+00,2.968287164370058129e-01,6.110032551291753045e-01
1.830738280295369780e+00,2.438913606590280558e-01,5.955537900403868878e-01
2.154434690031884259e+00,1.977125482000212653e-01,5.801043249515982492e-01
2.535364493970114097e+00,1.590297988649060912e-01,5.655946280590864461e-01
2.983647240283340274e+00,1.276068943728514427e-01,5.527052211601549692e-01
3.511191734215134641e+00,1.025672371199815025e-01,5.417601622535197503e-01
4.132012400115338657e+00,8.279048068041205966e-02,5.327756542391168804e-01
4.862601580065358142e+00,6.719001501640153862e-02,5.255572623177164893e-01
5.722367659350219959e+00,5.484066565618350708e-02,5.198457400903456760e-01
6.734150657750828550e+00,4.500595688850572706e-02,5.153656382580960038e-01
7.924828983539177862e+00,3.711880193345540313e-02,5.118658118719625616e-01
9.326033468832209294e+00,3.074849318390882047e-02,5.091356232327794995e-01
1.097498765493056716e+01,2.556869659070604150e-02,5.070049418912214723e-01
1.291549665014885306e+01,2.133118406914813470e-02,5.053360431978337619e-01
1.519911082952934755e+01,1.784574780181347187e-02,5.040236083030338321e-01
1.788649529057436993e+01,1.496532911150683098e-02,5.029866227071424500e-01
2.104904144512021702e+01,1.257514882732047035e-02,5.021683762603842416e-01
2.477076355991711409e+01,1.058477770615273705e-02,5.015121588129841657e-01
2.915053062825178642e+01,8.922335875933384841e-03,5.009936660150384746e-01
3.430469286314919231e+01,7.530214296947779218e-03,5.005723906167075521e-01
4.037017258596557667e+01,6.361896146322765233e-03,5.002321297180556403e-01
4.750810162102798273e+01,5.379567484580460857e-03,4.999566804191470926e-01
5.590810182512228721e+01,4.552305621189356444e-03,4.997298398200458180e-01
6.579332246575683030e+01,3.854689347651429898e-03,4.995435064707840489e-01
7.742636826811278183e+01,3.265724733501063071e-03,4.993895789213939618e-01
9.111627561154895716e+01,2.768003758639059342e-03,4.992680571718753901e-01
1.072267222010324303e+02,2.347041594664034392e-03,4.991627383222926873e-01
1.261856883066022306e+02,1.990749355713195001e-03,4.990736223726457421e-01
1.484968262254465117e+02,1.689011513360760830e-03,4.990007093229346657e-01
1.747528400007684866e+02,1.433344802890257341e-03,4.989439991731593471e-01
2.056512308348653448e+02,1.216621143447671471e-03,4.988872890233839730e-01
