alphas,errors,lambdas
1.000000000000001062e-02,9.920876294459837208e-01,5.288002994814704483e-01
1.176811952434999621e-02,9.906918691703974211e-01,5.289852231408731509e-01
1.384886371393874611e-02,9.890505761348951097e-01,5.291997345857804014e-01
1.629750834620645808e-02,9.871208242412008449e-01,5.294512307625678371e-01
1.917910261672490721e-02,9.848522876580521057e-01,5.297397116712361242e-01
2.257019719633922630e-02,9.821860073659184343e-01,5.300873681509130630e-01
2.656087782946689457e-02,9.790529691013805103e-01,5.304868032552227941e-01
3.125715849688238263e-02,9.753724725570602772e-01,5.309602078232937838e-01
3.678379771828638178e-02,9.710502706539497764e-01,5.315075818551255882e-01
4.328761281083061407e-02,9.659764637921461894e-01,5.321437192434708141e-01
5.094138014816385757e-02,9.600231401553753763e-01,5.328908108274572619e-01
5.994842503189414668e-02,9.530417671329570739e-01,5.337488566070858198e-01
7.054802310718649716e-02,9.448603615149260282e-01,5.347474443678601475e-01
8.302175681319752532e-02,9.352805023410963869e-01,5.358865741097804669e-01
9.770099572992262116e-02,9.240743083622372511e-01,5.371958336183513261e-01
1.149756995397736847e-01,9.109815892836437001e-01,5.386826198399488064e-01
1.353047774579808349e-01,8.957075162714271954e-01,5.403543297209487672e-01
1.592282793341093794e-01,8.779213598097942439e-01,5.422109632613516528e-01
1.873817422860385995e-01,8.572571473716271706e-01,5.442377265684046339e-01
2.205130739903047865e-01,8.333175397746028779e-01,5.464050318566038289e-01
2.595024211399738490e-01,8.056828754963434314e-01,5.486537035549401420e-01
3.053855508833418497e-01,7.739282384069605669e-01,5.508727874677719072e-01
3.593813663804631409e-01,7.376526209436353732e-01,5.529291385603296582e-01
4.229242874389503304e-01,6.965256665612379328e-01,5.546230392804580855e-01
4.977023564332113681e-01,6.503586489118757807e-01,5.556808026122410649e-01
5.857020818056670741e-01,5.992058209212329789e-01,5.558065507006350048e-01
6.892612104349702395e-01,5.434967254026286110e-01,5.546822148514668482e-01
8.111308307896876180e-01,4.841833488744489156e-01,5.520119172096924487e-01
9.545484566618347433e-01,4.228517539248970447e-01,5.476329249550373479e-01
1.123324032978028741e+00,3.617024155543058228e-01,5.415674289266301233e-01
1.321941148466030169e+00,3.032908248705818988e-01,5.341113069795149215e-01
1.555676143930473820e+00,2.500170589767687357e-01,5.257823453600189989e-01
1.830738280295369780e+00,2.035593060927713971e-01,5.172610631347445143e-01
