# alpha,l1_mean,l1_std
1.261856883066020951e-01,1.021585030866082988e+00,4.921603498806318561e-02
1.788649529057436127e-01,9.587606406813440341e-01,5.653752205612704723e-02
2.535364493970112543e-01,9.442110466463800034e-01,7.162868964284105355e-02
3.593813663804629188e-01,9.449814562125329331e-01,3.485701263813306000e-02
5.094138014816381732e-01,9.416771179085812182e-01,3.257998015218433602e-02
7.220809018385467848e-01,8.886092429779438584e-01,4.394748299207661135e-02
1.023531021899026783e+00,8.161776209625621892e-01,6.991648497816327357e-02
1.450828778495940163e+00,7.601545133315263936e-01,4.358290130600952356e-02
2.056512308348652507e+00,6.945183511076965521e-01,4.552054701902031458e-02
2.915053062825177399e+00,6.210309385767648349e-01,2.874234809858661893e-02
