# alpha,err_l2,lambda_l2,err_l1,lambda_l1,err_huber,lambda_hub,huber_param,err_bo
1.000000000000000472e-01,9.694134740490536473e-01,2.200000011399843025e+00,9.717976214877617203e-01,1.530954732497807669e+00,9.670410419009664027e-01,1.470090052243859358e+00,1.406715369440421970e+00,9.669741393329587265e-01
1.123324032978027937e-01,9.657320948278200756e-01,2.199999929378544383e+00,9.683950303409135651e-01,1.530945424173343561e+00,9.630704215205642127e-01,1.469126842888058837e+00,1.406183699954479227e+00,9.629956920392513942e-01
1.261856883066020951e-01,9.616200904571517993e-01,2.200000093421141223e+00,9.645922872367068690e-01,1.530933190230858276e+00,9.586344583451447132e-01,1.468049582053040591e+00,1.405590169850772231e+00,9.585510426408432316e-01
1.417474162926805892e-01,9.570303222559014555e-01,2.199999929378544383e+00,9.603450230596310977e-01,1.530917235995560954e+00,9.536820131455939764e-01,1.466845714667321721e+00,1.404928353642209915e+00,9.535889716187843090e-01
1.592282793341092961e-01,9.519113363053260946e-01,2.199999984059409996e+00,9.556046512043230301e-01,1.530896827532134852e+00,9.481572239223376997e-01,1.465501010233753343e+00,1.404190940649128638e+00,9.480535326777734806e-01
1.788649529057436127e-01,9.462071964249703093e-01,2.200000038740275610e+00,9.503181552882142835e-01,1.530870658941878570e+00,9.419993156820136715e-01,1.464000007161832650e+00,1.403369823436219299e+00,9.418838632670760713e-01
2.009233002565047888e-01,9.398573807908598976e-01,2.199999997729626511e+00,9.444279227782955699e-01,1.530837211737930526e+00,9.351424796768030845e-01,1.462326346966045687e+00,1.402457208417648538e+00,9.350140647316375064e-01
2.257019719633921451e-01,9.327967673663077885e-01,2.199999984059409996e+00,9.378716453637725436e-01,1.530794967433428244e+00,9.275158507830112420e-01,1.460461431628385043e+00,1.401443639576534839e+00,9.273731811106467049e-01
2.535364493970112543e-01,9.249557390141642799e-01,2.199999984059409996e+00,9.305823127088073132e-01,1.530741526819130449e+00,9.190436183744336018e-01,1.458385974839425447e+00,1.400320051196600302e+00,9.188853117413133820e-01
2.848035868435803142e-01,9.162604454717808711e-01,2.200000011399843025e+00,9.224883311363600846e-01,1.530674602041496524e+00,9.096453146918261901e-01,1.456078946631196303e+00,1.399076557374485219e+00,9.094699014924435554e-01
3.199267137797385252e-01,9.066332660671381216e-01,2.200000038740275610e+00,9.135138063899892469e-01,1.530590984031626522e+00,8.992363321354180927e-01,1.453517906588296160e+00,1.397702756992948103e+00,8.990422605920012078e-01
3.593813663804629188e-01,8.959935237135006059e-01,2.199999984059409996e+00,9.035790360629449847e-01,1.530487129653508305e+00,8.877287311531401048e-01,1.450679753489301227e+00,1.396188902211865202e+00,8.875143751939991166e-01
4.037017258596556912e-01,8.842585066906522018e-01,2.200000038740275610e+00,8.926012645371946830e-01,1.530358756774190310e+00,8.750324083507852180e-01,1.447539613958861437e+00,1.394524191783419020e+00,8.747960784262758249e-01
4.534878508128584174e-01,8.713448585288259274e-01,2.199999984059409996e+00,8.804957596377955831e-01,1.530200874633520280e+00,8.610567017866178618e-01,1.444072871027318961e+00,1.392699409225285567e+00,8.607966586494849581e-01
5.094138014816381732e-01,8.571703980429803416e-01,2.199999984059409996e+00,8.671772748584554158e-01,1.530007844583616272e+00,8.457125140632022475e-01,1.440254438842308193e+00,1.390705429195143950e+00,8.454269853648509470e-01
5.722367659350220404e-01,8.416564254303162684e-01,2.199999984059409996e+00,8.525619624028067944e-01,1.529773066268251602e+00,8.289150314638200623e-01,1.436059440923636243e+00,1.388534323827353756e+00,8.286022305325138060e-01
6.428073117284324178e-01,8.247305591722459139e-01,2.200000093421141223e+00,8.365697979184415489e-01,1.529489534401369699e+00,8.105871049033267495e-01,1.431465082977094516e+00,1.386180697973640186e+00,8.102452513384805766e-01
