# delta_large,l2,l1,Huber,BO
1.000000000000000021e-02,9.990117283000898851e-02,1.455325166621790345e-01,9.903486019002016860e-02,9.902187582119714726e-02
1.097498765493056840e-02,9.998703424765587044e-02,1.455327803803592168e-01,9.903620663662504597e-02,9.902209073734047351e-02
1.204503540258781286e-02,1.000812442399581226e-01,1.455330730553878738e-01,9.903766749882070286e-02,9.902232616925876751e-02
1.321941148466028622e-02,1.001846171569291677e-01,1.455333923957693454e-01,9.903925708292349306e-02,9.902258359472781990e-02
1.450828778495940295e-02,1.002980408295761627e-01,1.455337551329045631e-01,9.904098592404397827e-02,9.902286498719714558e-02
1.592282793341093933e-02,1.004224893795240270e-01,1.455341464919959193e-01,9.904286617412227933e-02,9.902317198001542309e-02
1.747528400007683155e-02,1.005590213903304608e-01,1.455345692160876503e-01,9.904490163967860639e-02,9.902350502011858513e-02
1.917910261672488986e-02,1.007088091659162910e-01,1.455350191011746119e-01,9.904710840904806801e-02,9.902387106429388908e-02
2.104904144512021943e-02,1.008731544040053496e-01,1.455355440992911475e-01,9.904952107848341569e-02,9.902426765355132332e-02
2.310129700083158114e-02,1.010534308038526508e-01,1.455361046696186378e-01,9.905212395752815979e-02,9.902470246923333885e-02
2.535364493970111363e-02,1.012512066716462211e-01,1.455367189088283553e-01,9.905496372167821306e-02,9.902517760144646797e-02
2.782559402207126012e-02,1.014681429085912967e-01,1.455373924574834277e-01,9.905803332010743034e-02,9.902569290421392445e-02
3.053855508833411975e-02,1.017061030808772415e-01,1.455381204912611359e-01,9.906136983947155805e-02,9.902625850889390513e-02
3.351602650938841077e-02,1.019671191960300760e-01,1.455389467763761324e-01,9.906500487617675432e-02,9.902687577910740391e-02
3.678379771828634015e-02,1.022533750426288801e-01,1.455398249525696741e-01,9.906893104724168175e-02,9.902754625283805012e-02
4.037017258596557745e-02,1.025673235806479067e-01,1.455408102938962056e-01,9.907320384517537271e-02,9.902828068262992112e-02
4.430621457583877598e-02,1.029116131735348105e-01,1.455418910192414206e-01,9.907784714048029073e-02,9.902908252572828474e-02
4.862601580065353812e-02,1.032891218498281916e-01,1.455430575201597243e-01,9.908286699758206417e-02,9.902995468746278451e-02
5.336699231206312039e-02,1.037030514984671470e-01,1.455443494617458811e-01,9.908832548677515284e-02,9.903090608792430860e-02
5.857020818056673378e-02,1.041568650703554866e-01,1.455457868106744268e-01,9.909425168943863937e-02,9.903194812548066217e-02
6.428073117284319182e-02,1.046543479099624196e-01,1.455473425395159559e-01,9.910067790000609556e-02,9.903308414911937696e-02
7.054802310718645553e-02,1.051996323124770871e-01,1.455490493984752387e-01,9.910763606252959157e-02,9.903432001001566398e-02
7.742636826811277739e-02,1.057972627927372677e-01,1.455509330586535199e-01,9.911519453986028516e-02,9.903567069767305053e-02
8.497534359086438005e-02,1.064521597836045608e-01,1.455529922991962710e-01,9.912338687374422364e-02,9.903715108732280559e-02
9.326033468832199691e-02,1.071697118918291114e-01,1.455552528113970290e-01,9.913227190517726051e-02,9.903875647418602934e-02
1.023531021899026922e-01,1.079557780626718699e-01,1.455577359366673207e-01,9.914189769221182225e-02,9.904051258258195212e-02
1.123324032978027659e-01,1.088167593698652347e-01,1.455604576066464872e-01,9.915233589337923981e-02,9.904242474994329193e-02
1.232846739442065992e-01,1.097596067774040396e-01,1.455634364469056141e-01,9.916364635022878460e-02,9.904451495331545452e-02
1.353047774579807516e-01,1.107919025014838521e-01,1.455667305016985491e-01,9.917591737190734058e-02,9.904679418570716543e-02
1.484968262254465210e-01,1.119218440155569372e-01,1.455703302235005214e-01,9.918919943502868541e-02,9.904928209517571691e-02
1.629750834620643518e-01,1.131583806728317931e-01,1.455742868746339180e-01,9.920360096842739672e-02,9.905199607346482082e-02
1.788649529057435017e-01,1.145111731934478350e-01,1.455786131443972398e-01,9.921919111212718079e-02,9.905495620353066411e-02
1.963040650040272228e-01,1.159907227949821262e-01,1.455833684797458449e-01,9.923608506747272351e-02,9.905818587425052613e-02
2.154434690031884481e-01,1.176083749706733350e-01,1.455886102560557394e-01,9.925439230251487110e-02,9.906171307742350773e-02
2.364489412645407185e-01,1.193763647135026584e-01,1.455943477522987362e-01,9.927420791928653898e-02,9.906555771423131151e-02
2.595024211399737379e-01,1.213079103146437188e-01,1.456006322467142677e-01,9.929566075432694205e-02,9.906975331994138934e-02
2.848035868435802032e-01,1.234172443219274662e-01,1.456075312615094930e-01,9.931889210693967129e-02,9.907433146949440328e-02
3.125715849688235348e-01,1.257196475344171116e-01,1.456151231617976993e-01,9.934404065521795779e-02,9.907932524647833361e-02
3.430469286314919430e-01,1.282315165506382471e-01,1.456234604527748555e-01,9.937126997359424507e-02,9.908477430915785256e-02
3.764935806792471529e-01,1.309703772609853711e-01,1.456325988754874068e-01,9.940073422267614589e-02,9.909072146214437105e-02
4.132012400115338546e-01,1.339549191577529275e-01,1.456426243232400441e-01,9.943261670201808400e-02,9.909720644729458350e-02
4.534878508128582508e-01,1.372050621397884473e-01,1.456536314226446471e-01,9.946711727473722675e-02,9.910428482914346304e-02
4.977023564332114236e-01,1.407418885891109639e-01,1.456657113365837919e-01,9.950443024362276567e-02,9.911200556204069478e-02
5.462277217684342601e-01,1.445877085092579506e-01,1.456789747748590269e-01,9.954480458431680390e-02,9.912043144393190008e-02
5.994842503189409255e-01,1.487659828773713055e-01,1.456935274086939014e-01,9.958846791153797007e-02,9.912961952091459139e-02
6.579332246575682053e-01,1.533012857580378085e-01,1.457094920288328765e-01,9.963568011254309020e-02,9.913964523122975603e-02
7.220809018385471179e-01,1.582192621723654824e-01,1.457270321688723946e-01,9.968673953260664966e-02,9.915058625201589315e-02
7.924828983539178306e-01,1.635464816324037063e-01,1.457462951479788771e-01,9.974195561744658711e-02,9.916252421504778702e-02
8.697490026177834288e-01,1.693103114534029174e-01,1.457674275323563862e-01,9.980163455986756915e-02,9.917555081012707774e-02
9.545484566618347433e-01,1.755387405200887763e-01,1.457906258386021392e-01,9.986614266288507125e-02,9.918976182652050610e-02
1.047615752789665011e+00,1.822601645433832296e-01,1.458160809055888407e-01,9.993585620383260704e-02,9.920526545719221545e-02
1.149756995397736681e+00,1.895031165949661034e-01,1.458440446332913698e-01,1.000112123727556757e-01,9.922218569382068587e-02
1.261856883066021062e+00,1.972959149794282219e-01,1.458747427633060312e-01,1.000926366810279688e-01,9.924064954998146337e-02
1.384886371393873272e+00,2.056663192508025872e-01,1.459084162609480817e-01,1.001805995543858518e-01,9.926079106659502216e-02
1.519911082952934755e+00,2.146411231829867816e-01,1.459454269662157078e-01,1.002756481458626503e-01,9.928277671630547641e-02
1.668100537200059241e+00,2.242456168874407130e-01,1.459860254678553293e-01,1.003783029906071267e-01,9.930676294797624593e-02
1.830738280295369780e+00,2.345031282687404239e-01,1.460306184044790623e-01,1.004891968163525995e-01,9.933294265549519331e-02
2.009233002565048221e+00,2.454343981826929699e-01,1.460795941939772025e-01,1.006089743087679178e-01,9.936151501703971434e-02
2.205130739903045534e+00,2.570569899568637684e-01,1.461333594401916791e-01,1.007383249342370668e-01,9.939269878166379080e-02
