# # epsilon, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.668718059970651733e-04,1.108616050423205657e-02,9.964474690461971873e-02,1.696802241606221173e-02,3.889660973890496365e-01,1.099596962797422250e-02,9.951622011775033971e-02,9.642037820880930976e-01,1.098435441741929530e-02
1.697445079752325087e-04,1.108806122660488391e-02,9.963858904901418123e-02,1.696813435280075666e-02,3.889577151465779536e-01,1.099628015397469127e-02,9.950836436965534992e-02,9.628846869248099960e-01,1.098448768253612595e-02
1.726666635840240233e-04,1.108999468272253708e-02,9.963250759216304986e-02,1.696824821918219151e-02,3.889495544889496337e-01,1.099659538228747735e-02,9.950045171356075580e-02,9.615634959197449927e-01,1.098462300725222551e-02
1.756391241688282990e-04,1.109196143878787844e-02,9.962614145560388934e-02,1.696836404496582240e-02,3.889412456300585519e-01,1.099691538510949584e-02,9.949248500280932772e-02,9.602422198423226085e-01,1.098476041209450749e-02
1.786627557309643851e-04,1.109396206674162499e-02,9.961960351857412910e-02,1.696848186686961135e-02,3.889327885793532058e-01,1.099724023162940156e-02,9.948434541713174761e-02,9.589194545803412240e-01,1.098489993670637155e-02
1.817384391799839113e-04,1.109599715121234453e-02,9.961325720746741497e-02,1.696860171843805887e-02,3.889238495227614334e-01,1.099756999489720499e-02,9.947615948272149622e-02,9.575955163156655292e-01,1.098504160798896567e-02
1.848670705903167582e-04,1.109806728397244591e-02,9.960641730790939508e-02,1.696872363416801477e-02,3.889156895756623045e-01,1.099790474610795599e-02,9.946770952586581060e-02,9.562701125615091780e-01,1.098518546314830591e-02
1.880495614623346615e-04,1.110017307218313931e-02,9.959976786217387967e-02,1.696884765108053195e-02,3.889062131086550300e-01,1.099824456265574568e-02,9.945915964262555531e-02,9.549439133042205707e-01,1.098533153609104751e-02
1.912868389879093225e-04,1.110231512648507390e-02,9.959292888885569461e-02,1.696897380277007095e-02,3.888975342857687312e-01,1.099858951602783463e-02,9.945058153590771721e-02,9.536161854020519524e-01,1.098547985593500975e-02
1.945798463205417050e-04,1.110449407552049905e-02,9.958580544747741570e-02,1.696910212916491467e-02,3.888880397170605407e-01,1.099893968633258723e-02,9.944172662621940384e-02,9.522878021986660446e-01,1.098563046058365078e-02
1.979295428501420980e-04,1.110671055206258195e-02,9.957858754318243966e-02,1.696923266572891720e-02,3.888786937291675017e-01,1.099929514808639652e-02,9.943280072737209485e-02,9.509580080930071233e-01,1.098578338288513923e-02
2.013369044825400920e-04,1.110896520461457371e-02,9.957144613446886061e-02,1.696936545122795792e-02,3.888691996204338697e-01,1.099965598160235203e-02,9.942377529099871714e-02,9.496275627366754790e-01,1.098593865889352372e-02
2.048029239238065974e-04,1.111125868998863453e-02,9.956407733695676887e-02,1.696950052386791974e-02,3.888594044241533987e-01,1.100002226556640039e-02,9.941444180480815684e-02,9.482946934464540067e-01,1.098609632677227665e-02
2.083286109694704115e-04,1.111359167622394395e-02,9.955664261858110375e-02,1.696963792347649935e-02,3.888493267051180702e-01,1.100039407971609151e-02,9.940523022054389979e-02,9.469621610764966668e-01,1.098625642042128092e-02
2.119149927987134965e-04,1.111596484776078420e-02,9.954904942314898864e-02,1.696977769089569321e-02,3.888393883106138205e-01,1.100077150992539998e-02,9.939564079430174282e-02,9.456266796155559096e-01,1.098641897705032733e-02
