# epsilons,l2,l1,Huber,BO
4.999999999999999562e-06,1.097907971297518159e-02,1.696171683029579214e-02,1.097907967700795240e-02,1.097612178204376843e-02
5.727574850543563117e-06,1.097956091996121764e-02,1.696174516482162886e-02,1.097956087875928688e-02,1.097616834767822791e-02
6.561022733715811170e-06,1.098011217140681950e-02,1.696177761940753648e-02,1.098011212421168281e-02,1.097622106412821097e-02
7.515749760695051493e-06,1.098074360463385801e-02,1.696181480735492464e-02,1.098074355057088169e-02,1.097628079713408589e-02
8.609403862467157232e-06,1.098146691226653537e-02,1.696185736493793783e-02,1.098146685033940528e-02,1.097634839606120849e-02
9.862201008167901039e-06,1.098229551700224960e-02,1.696190618115633875e-02,1.098229544606210695e-02,1.097642495394257622e-02
1.129729889307754707e-05,1.098324468367128937e-02,1.696196207048505933e-02,1.098324460240762690e-02,1.097651161562784861e-02
1.294122500381291958e-05,1.098433196814219137e-02,1.696202608693475611e-02,1.098433187505509778e-02,1.097660973627745395e-02
1.482436697341288224e-05,1.098557748076189888e-02,1.696209942994819642e-02,1.098557737413008439e-02,1.097672077282041414e-02
1.698153429042961304e-05,1.098700423348519806e-02,1.696218343502176040e-02,1.098700411133957111e-02,1.097684646274765807e-02
1.945260174510155817e-05,1.098863862114840551e-02,1.696227967795871372e-02,1.098863848122699771e-02,1.097698866118645977e-02
2.228324650657670353e-05,1.099051084125379774e-02,1.696238991707610388e-02,1.099051068097445238e-02,1.097714959747564389e-02
2.552579245590628872e-05,1.099265549293493294e-02,1.696251619737920713e-02,1.099265530933424273e-02,1.097733166813896766e-02
2.924017738212863668e-05,1.099511228018745790e-02,1.696266086009878826e-02,1.099511206986969469e-02,1.097753762414255263e-02
3.349506091986254204e-05,1.099792657414111474e-02,1.696282656880132578e-02,1.099792633322183022e-02,1.097777060937310534e-02
3.836909370840585373e-05,1.100115043634652956e-02,1.696301640314401560e-02,1.100115016037128690e-02,1.097803410558428894e-02
4.395237123248293433e-05,1.100484347117602901e-02,1.696323385402109807e-02,1.100484315504579591e-02,1.097833208997234244e-02
5.034809921858462837e-05,1.100907393696837211e-02,1.696348297124150584e-02,1.100907357484159910e-02,1.097866904455579995e-02
5.767450137140747517e-05,1.101392009702473196e-02,1.696376832195412021e-02,1.101391968220788442e-02,1.097904999823706707e-02
6.606700471450274400e-05,1.101947153398219470e-02,1.696409521867359160e-02,1.101947105881051492e-02,1.097948067140575024e-02
7.568074293070563687e-05,1.102583094125519914e-02,1.696446969817477779e-02,1.102583039694970957e-02,1.097996748546181678e-02
8.669342397607243537e-05,1.103311590775124529e-02,1.696489865831107835e-02,1.103311528425199306e-02,1.098051771988406422e-02
9.930861497457258683e-05,1.104146122301585820e-02,1.696539010828401750e-02,1.104146050880272512e-02,1.098113951922052856e-02
1.137595051141350547e-04,1.105102120071066452e-02,1.696595307520309959e-02,1.105102038259198061e-02,1.098184212917374669e-02
1.303132161004002263e-04,1.106197270524278409e-02,1.696659799205124664e-02,1.106197176809931015e-02,1.098263597580984019e-02
1.492757398460202055e-04,1.107451838128437061e-02,1.696733680677420253e-02,1.107451730780861787e-02,1.098353276648067478e-02
1.709975946676698050e-04,1.108889034724636069e-02,1.696818318931359038e-02,1.108888911761041207e-02,1.098454575226504026e-02
1.958803045443973517e-04,1.110535459968819971e-02,1.696915282064770381e-02,1.110535319118399755e-02,1.098568988584536221e-02
2.243838212050606410e-04,1.112421586688228103e-02,1.697026364746623273e-02,1.112421425349530146e-02,1.098698195367209252e-02
2.570350262405938124e-04,1.114582334851332845e-02,1.697153625145642053e-02,1.114582150045673181e-02,1.098844091811890245e-02
2.944374704008857107e-04,1.117057719451874931e-02,1.697299422485465392e-02,1.117057507767804658e-02,1.099008818130131626e-02
3.372825301051552479e-04,1.119893582360753648e-02,1.697466459920216053e-02,1.119893339891131490e-02,1.099194781252177400e-02
3.863621873915979105e-04,1.123142475257421502e-02,1.697657834144972178e-02,1.123142197528137487e-02,1.099404698193440222e-02
4.425836695410231294e-04,1.126864609991251598e-02,1.697877100468581091e-02,1.126864291878781899e-02,1.099641628277336913e-02
5.069862189848889930e-04,1.131128999844488447e-02,1.698128321632164095e-02,1.131128635481992717e-02,1.099909025086065473e-02
5.807603034860037323e-04,1.136014750580671695e-02,1.698416179202166809e-02,1.136014333250323638e-02,1.100210772850751528e-02
6.652696216880965270e-04,1.141612533750979708e-02,1.698746009180163163e-02,1.141612055761798139e-02,1.100551257334181354e-02
7.620763108022737689e-04,1.148026302763360817e-02,1.699123964999404990e-02,1.148025755309944884e-02,1.100935415810599949e-02
8.729698223892247769e-04,1.155375238168931951e-02,1.699557077021340845e-02,1.155374611171366972e-02,1.101368820427883755e-02
1.000000000000000021e-03,1.163796002882722114e-02,1.700053424769332189e-02,1.163795284803237351e-02,1.101857750463852703e-02
