# alpha,err_hub,lambda_hub,a_hub
1.979671752951332664e+01,1.288945486407135910e-01,-5.440080686698689494e-01,9.614177077781002057e-01
1.998026308572549681e+01,1.277569217370826404e-01,-5.612835791320459622e-01,9.614234830792292019e-01
2.016551038724746547e+01,1.266286167526526896e-01,-5.787122327687481693e-01,9.614298853529048561e-01
2.035247521183576680e+01,1.255095750678039135e-01,-5.962956796366826184e-01,9.614369042742398896e-01
2.054117348353064187e+01,1.243997379826939920e-01,-6.140350285141382702e-01,9.614446201715758367e-01
2.073162127401230137e+01,1.232990467308441307e-01,-6.319322387236474547e-01,9.614528754993804105e-01
2.092383480396976836e+01,1.222074424923857983e-01,-6.499882770904534812e-01,9.614615218086608461e-01
2.111783044448243274e+01,1.211248664069797254e-01,-6.682053432617696132e-01,9.614710422255965394e-01
2.131362471841437767e+01,1.200512595864093868e-01,-6.865843953115655651e-01,9.614808903251156336e-01
2.151123430182166274e+01,1.189865631268502977e-01,-7.051274766373722969e-01,9.614913066123876861e-01
2.171067602537264918e+01,1.179307181258584247e-01,-7.238356581090974462e-01,9.615021883216675613e-01
2.191196687578148428e+01,1.168836656737246571e-01,-7.427112807741206302e-01,9.615136484388131510e-01
2.211512399725488720e+01,1.158453468954481203e-01,-7.617551836587144187e-01,9.615256512159976454e-01
2.232016469295233563e+01,1.148157029411884800e-01,-7.809692504000342872e-01,9.615379752377521960e-01
2.252710642645980244e+01,1.137946750021665565e-01,-8.003553212150384955e-01,9.615508485134369732e-01
2.273596682327716323e+01,1.127822043210993108e-01,-8.199148616966787095e-01,9.615642879758340422e-01
2.294676367231935998e+01,1.117782322023352926e-01,-8.396497455682435662e-01,9.615780750690137157e-01
2.315951492743153395e+01,1.107827000217083135e-01,-8.595611348285869813e-01,9.615921245225742542e-01
2.337423870891814914e+01,1.097955492361044616e-01,-8.796513447996533452e-01,9.616068501376024980e-01
2.359095330508635158e+01,1.088167213927559995e-01,-8.999216662987301607e-01,9.616217470613701579e-01
2.380967717380358195e+01,1.078461581382597068e-01,-9.203740025111744050e-01,9.616370708332453443e-01
2.403042894406968344e+01,1.068838012273283233e-01,-9.410100245073655945e-01,9.616529160453980429e-01
2.425322741760352940e+01,1.059295925312768727e-01,-9.618318861275347853e-01,9.616691065767009050e-01
2.447809157044441619e+01,1.049834740462509686e-01,-9.828406113535350652e-01,9.616855560196486685e-01
2.470504055456825299e+01,1.040453879012002147e-01,-1.004038527840656947e+00,9.617023785413476578e-01
2.493409369951879029e+01,1.031152763656018045e-01,-1.025427230900873621e+00,9.617195488816301374e-01
2.516527051405391546e+01,1.021930818569376509e-01,-1.047008679301108636e+00,9.617370296111014127e-01
2.539859068780725337e+01,1.012787469479321523e-01,-1.068784628983949769e+00,9.617548543587234322e-01
2.563407409296515027e+01,1.003722143735532590e-01,-1.090757053635668106e+00,9.617729030349709829e-01
2.587174078595921145e+01,9.947342703778017103e-02,-1.112927687784507569e+00,9.617913925590431123e-01
2.611161100917459521e+01,9.858232802014654794e-02,-1.135298246497942198e+00,9.618100405219845994e-01
2.635370519267393163e+01,9.769886058205723423e-02,-1.157871315901543907e+00,9.618290708671883849e-01
2.659804395593758386e+01,9.682296817288937874e-02,-1.180647990974581951e+00,9.618483130428920891e-01
2.684464810961962655e+01,9.595459443587861514e-02,-1.203630665281352652e+00,9.618676913564558895e-01
2.709353865732051503e+01,9.509368321379385591e-02,-1.226821217600875258e+00,9.618874394359566704e-01
2.734473679737579843e+01,9.424017855440935953e-02,-1.250221549602843929e+00,9.619074496944794994e-01
2.759826392466180423e+01,9.339402471577340492e-02,-1.273833797933554113e+00,9.619275866435108568e-01
2.785414163241766161e+01,9.255516617128023427e-02,-1.297660034689874120e+00,9.619480451868827053e-01
2.811239171408464088e+01,9.172354761455014938e-02,-1.321701940778567508e+00,9.619686784307759364e-01
2.837303616516211591e+01,9.089911396412153621e-02,-1.345961764097087787e+00,9.619894632549237379e-01
