# alpha,err_l2,lambda_l2,err_l1,lambda_l1,err_huber,lambda_hub,huber_param,err_bo
1.668100537200059819e+01,2.436891259412130584e-01,9.999999999999999547e-08,1.791781074304457100e-01,1.839992880480185722e-01,1.525467211229047937e-01,9.999999999999999547e-08,9.238595958887058091e-01,1.356949448157871441e-01
1.873817422860383886e+01,2.258651675656677682e-01,9.999999999999999547e-08,1.610562863369198183e-01,9.999999999999999547e-08,1.378077116292826254e-01,9.999999999999999547e-08,8.968438041558101093e-01,1.211271753486575786e-01
2.104904144512020636e+01,2.102052489077388397e-01,9.999999999999999547e-08,1.449319319506923165e-01,9.999999999999999547e-08,1.248937672200902682e-01,9.999999999999999547e-08,8.689776731836500456e-01,1.080502955483226835e-01
2.364489412645408350e+01,1.964257579116190922e-01,9.999999999999999547e-08,1.308030180757175920e-01,9.999999999999999547e-08,1.135515283068631032e-01,9.999999999999999547e-08,8.403166648205608880e-01,9.633414509425874961e-02
2.656087782946687881e+01,1.842847127124875861e-01,9.999999999999999547e-08,1.184002151050638219e-01,9.999999999999999547e-08,1.035678228771572673e-01,9.999999999999999547e-08,8.109332786955317784e-01,8.585301316404136962e-02
2.983647240283341873e+01,1.735747171650694476e-01,9.999999999999999547e-08,1.074952796493031659e-01,9.999999999999999547e-08,9.476234808563721579e-02,9.999999999999999547e-08,7.809143204155628570e-01,7.648788061614819611e-02
3.351602650938842487e+01,1.641172980163527750e-01,9.999999999999999547e-08,9.789381368912630776e-02,9.999999999999999547e-08,8.698187421718972523e-02,9.999999999999999547e-08,7.503586874775136639e-01,6.812771668249584245e-02
3.764935806792469464e+01,1.557583149319847760e-01,9.999999999999999547e-08,8.942949296847912954e-02,9.999999999999999547e-08,8.009561528959974197e-02,9.999999999999999547e-08,7.193747722261594202e-01,6.067008858520406278e-02
4.229242874389500884e+01,1.483642111823328946e-01,9.999999999999999547e-08,8.195942870489369980e-02,9.999999999999999547e-08,7.399150205471749508e-02,9.999999999999999547e-08,6.880787272577923996e-01,5.402129119375298494e-02
4.750810162102800405e+01,1.418189293655769401e-01,9.999999999999999547e-08,7.536041119199232696e-02,9.999999999999999547e-08,6.857315834295851786e-02,9.999999999999999547e-08,6.565921192978448895e-01,4.809615541036516007e-02
5.336699231206309690e+01,1.360213567299717319e-01,9.999999999999999547e-08,6.952584540772543953e-02,9.999999999999999547e-08,6.375743078059947777e-02,9.999999999999999547e-08,6.250404836373645301e-01,4.281765395748027281e-02
5.994842503189411786e+01,1.308831963514205388e-01,9.999999999999999547e-08,6.436323387949438590e-02,9.999999999999999547e-08,5.947235701965514210e-02,9.999999999999999547e-08,5.935509699121409577e-01,3.811638837708630767e-02
6.734150657750825530e+01,1.263271827928615920e-01,9.999999999999999547e-08,5.979209587297273920e-02,9.999999999999999547e-08,5.565548429159639099e-02,9.999999999999999547e-08,5.622509492739695691e-01,3.393001709865939297e-02
