# epsilons,l2,l1,Huber,BO
1.000000000000000048e-04,1.102890038190063038e-02,1.696483995783237830e-02,1.112296309998783705e-02,1.098122795952716224e-02
1.089841479985287007e-04,1.103367744173788800e-02,1.696513807026978071e-02,1.112392126746364340e-02,1.098167066414790227e-02
1.187754451496519491e-04,1.103887487191990147e-02,1.696546163312540045e-02,1.112494627087823318e-02,1.098214726609714198e-02
1.294464069278079583e-04,1.104454161159140746e-02,1.696581647747241739e-02,1.112605482153838921e-02,1.098266284949378502e-02
1.410760637049798111e-04,1.105072027398046330e-02,1.696620078039368096e-02,1.112725395338487466e-02,1.098321980873073755e-02
1.537505460587338172e-04,1.105745246444178598e-02,1.696662247836377979e-02,1.112854624437842332e-02,1.098382201404812797e-02
1.675637226651963423e-04,1.106478896238027865e-02,1.696708061746399210e-02,1.112993992645505692e-02,1.098447158405502222e-02
1.826178955012817604e-04,1.107278436659031584e-02,1.696757925037761794e-02,1.113144310767077982e-02,1.098517480408767177e-02
1.990245575049151821e-04,1.108149976585814933e-02,1.696812362452981837e-02,1.113306649522538549e-02,1.098593168332218095e-02
2.169052183045736210e-04,1.109099752740361211e-02,1.696871535979127543e-02,1.113481673142491246e-02,1.098675110005276068e-02
2.363923041335880607e-04,1.110134798845030524e-02,1.696936170990692716e-02,1.113670121884968722e-02,1.098763578452910394e-02
2.576301385940816982e-04,1.111262679310698331e-02,1.697006769629227918e-02,1.113873702133361121e-02,1.098859235317617422e-02
2.807760115341883145e-04,1.112491881170551977e-02,1.697083524217779527e-02,1.114092953144418807e-02,1.098962361525646081e-02
3.060013439547857954e-04,1.113831633312001301e-02,1.697167146709288588e-02,1.114329248472900602e-02,1.099073397643146599e-02
3.334929575731706165e-04,1.115291559964393109e-02,1.697258411532631683e-02,1.114584243184135737e-02,1.099193662133102212e-02
3.634544584462144558e-04,1.116882819550824024e-02,1.697357712535385588e-02,1.114859080975261207e-02,1.099323698254006665e-02
3.961077449002729550e-04,1.118616660915772165e-02,1.697466089367072328e-02,1.115154926614891906e-02,1.099463757901775196e-02
4.316946509357480022e-04,1.120506360928752443e-02,1.697584277348074266e-02,1.115473907674613407e-02,1.099615159974254297e-02
4.704787372775474756e-04,1.122565792116558825e-02,1.697712858193023422e-02,1.115817626781745453e-02,1.099778213491631185e-02
5.127472433361707953e-04,1.124810300271117391e-02,1.697853205467914073e-02,1.116187779622457299e-02,1.099954556326188104e-02
5.588132145358679298e-04,1.127256043020241627e-02,1.698006153223352577e-02,1.116586590520851630e-02,1.100144929955759743e-02
6.090178207651060537e-04,1.129921286598101204e-02,1.698172815514675804e-02,1.117016352159971859e-02,1.100350218931889223e-02
6.637328831200574363e-04,1.132825882657795269e-02,1.698354514617950173e-02,1.117478722474274377e-02,1.100571906796055099e-02
7.233636276544640805e-04,1.135991401622571395e-02,1.698552536430808502e-02,1.117977017406657225e-02,1.100811189617245667e-02
7.883516865304673101e-04,1.139440861064611177e-02,1.698768405251449565e-02,1.118513456142866680e-02,1.101069539367882655e-02
8.591783687972606807e-04,1.143199985005516339e-02,1.699003729070613922e-02,1.119091047913012282e-02,1.101348214371744572e-02
9.363682250213513011e-04,1.147296310103018691e-02,1.699260274979197405e-02,1.119712766177816121e-02,1.101649044080910134e-02
