# reg_params,l2,l1,Huber 0.01,Huber 0.02,Huber 0.03,Huber 0.06,Huber 0.10,Huber 0.18,Huber 0.32,Huber 0.56,Huber 1.00,BO
4.037017258596553842e-04,4.351549231462554701e+01,9.452398552986552716e+01,4.797395409856139992e+00,7.229071687044038796e+00,1.063820522864675766e+01,1.533519661366375786e+01,2.165657869637604804e+01,2.977331482510911798e+01,3.891003792225874491e+01,4.348511575750128344e+01,4.351549231445389410e+01,6.197755182845332556e-01
4.641588833612782196e-04,4.053156067573377896e+01,8.673323258960276405e+01,4.324336764549213896e+00,6.554285248699685873e+00,9.690039837925361610e+00,1.401561057642614117e+01,1.984144314866393444e+01,2.733478290423086676e+01,3.584439769493407368e+01,4.048277830107892328e+01,4.053156067246121808e+01,6.197755182845332556e-01
5.336699231206312212e-04,3.774893581850162150e+01,7.958554065989167725e+01,3.892134393043736207e+00,5.934694410401432307e+00,8.817726382993434697e+00,1.280094466894433580e+01,1.817044898843531087e+01,2.508856251241304847e+01,3.300816802326882282e+01,3.767405391442944307e+01,3.774893580969741436e+01,6.197755182845332556e-01
6.135907273413176120e-04,3.515406456082853737e+01,7.302702391744257682e+01,3.498020191767963194e+00,5.366261628348949486e+00,8.015411640813802308e+00,1.168285475857349809e+01,1.663199558565195701e+01,2.301932874478456625e+01,3.038519149250941354e+01,3.504399208740918681e+01,3.515406452188981490e+01,6.197755182845332556e-01
7.054802310718645249e-04,3.273430815901086532e+01,6.700835067539856027e+01,3.139463534031218472e+00,4.845308513128262717e+00,7.277753887598235494e+00,1.065370986464230363e+01,1.521545198214863071e+01,2.111298591431965122e+01,2.796020179602640354e+01,3.257906333196604720e+01,3.273430800665866514e+01,6.197755182845332556e-01
8.111308307896872294e-04,3.047788074133647385e+01,6.148435683599334567e+01,2.814143816441045054e+00,4.368483778621959246e+00,6.599880559531747792e+00,9.706534005510960128e+00,1.391107875650687831e+01,1.935657425776900098e+01,2.571883494841013729e+01,3.026732957789268141e+01,3.047788017077792944e+01,6.197755182845332556e-01
9.326033468832199040e-04,2.837379188729079260e+01,5.641369238789216922e+01,2.519923532950234968e+00,3.932732991817570412e+00,5.977349087335464439e+00,8.834952770352588303e+00,1.270995619606445359e+01,1.773818326483353758e+01,2.364762310711988746e+01,2.809848641710102513e+01,2.837378997169002304e+01,6.197755182845332556e-01
1.072267222010323115e-03,2.641179311566133947e+01,5.175849820766959652e+01,2.254821864811911158e+00,3.535269272580308098e+00,5.406110515392446914e+00,8.033144166569021749e+00,1.160391827700885159e+01,1.624687127406147269e+01,2.173397574230395435e+01,2.606373949740229534e+01,2.641178720968274263e+01,6.197755182845332556e-01
1.232846739442065853e-03,2.458232794881611127e+01,4.748411070986456650e+01,2.016989037669649765e+00,3.173545463656561871e+00,4.882475548502208440e+00,7.295793358791355487e+00,1.058549196236171497e+01,1.487259095882398796e+01,1.996615195125118802e+01,2.415554639526006397e+01,2.458231118476584598e+01,6.197755182845332556e-01
1.417474162926804808e-03,2.287648534282718771e+01,4.355879040918587464e+01,1.804681920692341679e+00,2.845226583878748272e+00,4.403082609248564872e+00,6.618050884172023807e+00,9.647841355735682356e+00,1.360612029048472493e+01,1.833322669843653685e+01,2.236729323824490123e+01,2.287644135670967316e+01,6.197755182845332556e-01
1.629750834620643553e-03,2.128595630790233173e+01,3.995347693140729461e+01,1.616241682312882233e+00,2.548163033536295696e+00,3.964867692812444666e+00,5.995493986874167014e+00,8.784716302304078184e+00,1.243899866138807297e+01,1.682505324722424334e+01,2.069298396100750992e+01,2.128584905062334087e+01,6.197755182845332556e-01
1.873817422860383055e-03,1.980299340417403187e+01,3.664156116399865937e+01,1.450074563932200800e+00,2.280364251765237604e+00,3.565035315546727812e+00,5.424090694239045440e+00,7.990405030772025796e+00,1.136346777101042882e+01,1.543222337881180195e+01,1.912699378637940129e+01,1.980274914922983243e+01,6.197755182845332556e-01
2.154434690031884272e-03,1.842037299873032197e+01,3.359867928927300795e+01,1.304636870605767829e+00,2.039973079249263410e+00,3.201030644034706718e+00,4.900166273616989088e+00,7.259690465944637516e+00,1.037241694387158120e+01,1.414602664685371280e+01,1.766390507022242318e+01,1.841985121188782415e+01,6.197755182845332556e-01
2.477076355991711300e-03,1.713136007678656014e+01,3.080252369150169400e+01,1.178425452412676933e+00,1.825241308980338095e+00,2.870512331998869016e+00,4.420371705632065051e+00,6.587809840153769692e+00,9.459332550982587406e+00,1.295840954598449279e+01,1.629841823071410545e+01,1.713031011468540044e+01,6.197755182845332556e-01
2.848035868435802066e-03,1.592967539702395996e+01,2.823267008376465981e+01,1.069973919558874442e+00,1.634507169767540180e+00,2.571325803629858076e+00,3.981653806038229604e+00,5.970417261598340630e+00,8.618251190241654314e+00,1.186193525732018372e+01,1.502531885507740306e+01,1.592767779232752900e+01,6.197755182845332556e-01
3.274549162877728528e-03,1.480946492975775364e+01,2.587041944784800052e+01,9.778547306277463047e-01,1.466175736914486993e+00,2.301477112722878804e+00,3.581226741463041652e+00,5.403548903912267498e+00,7.843716377271700679e+00,1.084974444576411301e+01,1.383948043149827889e+01,1.480585919628744840e+01,6.197755182845332556e-01
3.764935806792467539e-03,1.376527127995920097e+01,2.369865342317468304e+01,9.006857788298203715e-01,1.318703496799713548e+00,2.059107440048628668e+00,3.216544370946623488e+00,4.883590444093597327e+00,7.130738351171540756e+00,9.915517353787979715e+00,1.273588589653256342e+01,1.375907724471708704e+01,6.197755182845332556e-01
4.328761281083061754e-03,1.279200709714388040e+01,2.170170205320994228e+01,8.371393490622953681e-01,1.190588069651660641e+00,1.842468706692637070e+00,2.885273503331949652e+00,4.407246449157714352e+00,6.474756798847366213e+00,9.053437469626487655e+00,1.170965620173934241e+01,1.278185212909778912e+01,6.197755182845332556e-01
4.977023564332113716e-03,1.188493027196546947e+01,1.986522282062543354e+01,7.859506640274162015e-01,1.080363795789588854e+00,1.649900992497957741e+00,2.585267574517945199e+00,3.971511349497207188e+00,5.871606137071034404e+00,8.258156828302166019e+00,1.075607872496872908e+01,1.186899942430863852e+01,6.197755182845332556e-01
5.722367659350220161e-03,1.103962080542274116e+01,1.817608996266910992e+01,7.459232574885075184e-01,9.866030935572598359e-01,1.479812757170193560e+00,2.314540861791291260e+00,3.573641664537265061e+00,5.317483091803090645e+00,7.524762983782000703e+00,9.870631707498313645e+00,1.101564801799869997e+01,6.197755182845332556e-01
6.579332246575681983e-03,1.025195922630362944e+01,1.662229326784612837e+01,7.159292102191977536e-01,9.079225311784946406e-01,1.330664981601129337e+00,2.071243321078895860e+00,3.211129226208533805e+00,4.808916307639799825e+00,6.848747706237901411e+00,9.049003167298126371e+00,1.021727374214621875e+01,6.197755182845332556e-01
7.564633275546290940e-03,9.518106486548656875e+00,1.519284505304793420e+01,6.949036888767130549e-01,8.429915583649936206e-01,1.200960341480369564e+00,1.853636472956743830e+00,2.881675113773200181e+00,4.342737584051247879e+00,6.225977212250885628e+00,8.287103838241719700e+00,9.469738952562934742e+00,6.197755182845332556e-01
8.697490026177834635e-03,8.834485222058178877e+00,1.387769583601577494e+01,6.818349292763432601e-01,7.905411962344719434e-01,1.089238097120834414e+00,1.660070954320158831e+00,2.583163970528637776e+00,3.916054635884341550e+00,5.652664027143244674e+00,7.581074721847552489e+00,8.769324795988779897e+00,6.197755182845332556e-01
1.000000000000000021e-02,8.197762245594724106e+00,1.266765638363199464e+01,6.757522559225075387e-01,7.493698919258644509e-01,9.940747483135659035e-01,1.488966744471184933e+00,2.313639106627535025e+00,3.526224854837392009e+00,5.125340154199338194e+00,6.927289789116391816e+00,8.112744128953821132e+00,6.197755182845332556e-01
1.149756995397735633e-02,7.604832259281693041e+00,1.155432664288792211e+01,6.757155165944798147e-01,7.183444564248856468e-01,9.140895243643299972e-01,1.338797087767400695e+00,2.071277833761246967e+00,3.170830056763384253e+00,4.640831615105998509e+00,6.322354771517391114e+00,7.497128466187863438e+00,6.197755182845332556e-01
1.321941148466028795e-02,7.052802648765005955e+00,1.053003057418007771e+01,6.808090919602639568e-01,6.963953260295412395e-01,8.479527954234749032e-01,1.208077237940996529e+00,1.854368110717193874e+00,2.847651743622045206e+00,4.196233948895685018e+00,5.763102633017978427e+00,6.919990078771157016e+00,6.197755182845332556e-01
1.519911082952933069e-02,6.538979274395742003e+00,9.587756425022973872e+00,6.901424863120296793e-01,6.825070703725935051e-01,7.943947975578981024e-01,1.095358746062954802e+00,1.661286551695114078e+00,2.554646915223080406e+00,3.788888727843439330e+00,5.246586599091244807e+00,6.379166858064284185e+00,6.197755182845332556e-01
1.747528400007684890e-02,6.060853278419949142e+00,8.721101881097000685e+00,7.028577415704516662e-01,6.757065680386111772e-01,7.522118859244708577e-01,9.992294036359612441e-01,1.490479006851372024e+00,2.289924407435545817e+00,3.416360740656437578e+00,4.770071077694106876e+00,5.872760316155321902e+00,6.197755182845332556e-01
2.009233002565048026e-02,5.616088705540089876e+00,7.924223764499908285e+00,7.181421609281000151e-01,6.750521653342879125e-01,7.202681413530542809e-01,9.183180828096344506e-01,1.340444591500722371e+00,2.051721576819561577e+00,3.076415773499802775e+00,4.331021094278130867e+00,5.399076173849994831e+00,6.197755182845332556e-01
2.310129700083160542e-02,5.202511005111708720e+00,7.191791677291622165e+00,7.352435946237387832e-01,6.796270389332971229e-01,6.974913800804124486e-01,8.513026944156532050e-01,1.209724276814575283e+00,1.838382198038332138e+00,2.766998732952593798e+00,3.927090467727910816e+00,4.956573818474005577e+00,6.197755182845332556e-01
2.656087782946686682e-02,4.818096257970346130e+00,6.518945297146826690e+00,7.534851708235998924e-01,6.885389522822136232e-01,6.828642687009157664e-01,7.969187899976259981e-01,1.096894730831309062e+00,1.648335647970697648e+00,2.486212173945534509e+00,3.556109024734304569e+00,4.543827193970491507e+00,6.197755182845332556e-01
3.053855508833415444e-02,4.460961138157808037e+00,5.901254887102039604e+00,7.722768161096484896e-01,7.009268746324007759e-01,6.754127760899020227e-01,7.539660854067636864e-01,1.000567617156472799e+00,1.480078458291830934e+00,2.232295178342797115e+00,3.216069028606769020e+00,4.159496914586036986e+00,6.197755182845332556e-01
3.511191734215130672e-02,4.129353498288814706e+00,5.334684585789435829e+00,7.911219053542379864e-01,7.159731656289245461e-01,6.741951718643321989e-01,7.213106597184640867e-01,9.193936815522707473e-01,1.332159061670473044e+00,2.003602674938856243e+00,2.905110942363025028e+00,3.802311702237961999e+00,6.197755182845332556e-01
4.037017258596553582e-02,3.821643617341758059e+00,4.815558154636281785e+00,8.096185040838042024e-01,7.329186921240375963e-01,6.782948437566954647e-01,6.978817395247405297e-01,8.520700838126671339e-01,1.203166722674427369e+00,1.798585721948856131e+00,2.621508719414376465e+00,3.471056751204721014e+00,6.197755182845332556e-01
4.641588833612782239e-02,3.536315930502765603e+00,4.340526715644674738e+00,8.274556682749606429e-01,7.510777645333193142e-01,6.868192581101747463e-01,6.826635079345197976e-01,7.973486087712156056e-01,1.091725278921793496e+00,1.615773096222147931e+00,2.363654721926933266e+00,3.164566623140583790e+00,6.197755182845332556e-01
5.336699231206312732e-02,3.271961325734733972e+00,3.906538173231373090e+00,8.444058635144243707e-01,7.698501559443213793e-01,6.989057865899187538e-01,6.746840018477801015e-01,7.540422530435424431e-01,9.964919463886685591e-01,1.453754968435179151e+00,2.130044468035366734e+00,2.881720738429678796e+00,6.197755182845332556e-01
6.135907273413175600e-02,3.027269906156099033e+00,3.510807989804186846e+00,8.603148524890483761e-01,7.887284071973685862e-01,7.137333075966417750e-01,6.730041206577795920e-01,7.210278640481665446e-01,9.161605888800276043e-01,1.311169410712051508e+00,1.919261444279056983e+00,2.621440007154949736e+00,6.197755182845332556e-01
7.054802310718645553e-02,2.801024132724014404e+00,3.150790782353177555e+00,8.750903201913452500e-01,8.072997309619219797e-01,7.305370831459720993e-01,6.767100322270680479e-01,6.972436709054511406e-01,8.494681226927294215e-01,1.186692571945251684e+00,1.729962513630365351e+00,2.382683770904845844e+00,6.197755182845332556e-01
8.111308307896872294e-02,2.592092417784334302e+00,2.824152654152106035e+00,8.886903621574652190e-01,8.252428907256350588e-01,7.486238473272961436e-01,6.849114338216376607e-01,6.816819296801684969e-01,7.952019962404537345e-01,1.079032980277823128e+00,1.560864182867695682e+00,2.164446340276617864e+00,6.197755182845332556e-01
9.326033468832199691e-02,2.399422997388839907e+00,2.528744290852636301e+00,9.011125137062769852e-01,8.423210468747791557e-01,7.673842805926254229e-01,6.967465975621598417e-01,6.733784524549565331e-01,7.522063848053855972e-01,9.869301586707435181e-01,1.410730527308000415e+00,1.965753055336536548e+00,6.197755182845332556e-01
1.072267222010323123e-01,2.222038166790411218e+00,2.262574030000502834e+00,9.123840827748743720e-01,8.583719021631540658e-01,7.863009464846369978e-01,7.113933493777351291e-01,6.714019012534788722e-01,7.193850196251629914e-01,9.091570988254968899e-01,1.278363162304342993e+00,1.785655743527399641e+00,6.197755182845332556e-01
1.232846739442065853e-01,2.059028740690475257e+00,2.023782478659752471e+00,9.225536026883175422e-01,8.732964268779315198e-01,8.049508605988561216e-01,7.280836242240227296e-01,6.748459790077390164e-01,6.956993102272397422e-01,8.445253498860610941e-01,1.162594060948300756e+00,1.623227851198480565e+00,6.197755182845332556e-01
1.417474162926804782e-01,1.909548764706342716e+00,1.810617468373108885e+00,9.316839357689510326e-01,8.870473389720499036e-01,8.230029816950333865e-01,7.461186567406419279e-01,6.828271731159166746e-01,6.801619947500806562e-01,7.918912804050373122e-01,1.062281327613626480e+00,1.477559505029437004e+00,6.197755182845332556e-01
1.629750834620645183e-01,1.772810424326730860e+00,1.621411953432962516e+00,9.398466348009053561e-01,8.996180777605069512e-01,8.402114965256792800e-01,7.648818206598501090e-01,6.944890303260460307e-01,6.718275257628129049e-01,7.501612054378289374e-01,9.763081412946219562e-01,1.347752903852030393e+00,6.197755182845332556e-01
1.873817422860384885e-01,1.648079100607459768e+00,1.454564335512748663e+00,9.471175988123086142e-01,9.110328833286325256e-01,8.564062675722383666e-01,7.838472058854060176e-01,7.090124976940327395e-01,6.697820427105063423e-01,7.182939333336423315e-01,9.035845357668155220e-01,1.232918506281244220e+00,6.197755182845332556e-01
