# reg_params,l2,l1,Huber 0.01,Huber 0.02,Huber 0.03,Huber 0.06,Huber 0.10,Huber 0.18,Huber 0.32,Huber 0.56,Huber 1.00,BO
1.000000000000000048e-04,1.106733622626613567e+00,1.106777779921003679e+00,1.106733620491394898e+00,1.106733620515794714e+00,1.106733620568304044e+00,1.106733620573222332e+00,1.106733620697896825e+00,1.106733620934944984e+00,1.106733621356956299e+00,1.106733621568703807e+00,1.106733622170933407e+00,9.615550719499895704e-01
1.149756995397735633e-04,1.106727010700314651e+00,1.106777779215933233e+00,1.106727009368553061e+00,1.106727009367922232e+00,1.106727009408691620e+00,1.106727009488381430e+00,1.106727009486879965e+00,1.106727009658886374e+00,1.106727009942079620e+00,1.106727010681495482e+00,1.106727010800242494e+00,9.615550719499895704e-01
1.321941148466028784e-04,1.106719410371946211e+00,1.106777779258580008e+00,1.106719408718033648e+00,1.106719408749549327e+00,1.106719408751819733e+00,1.106719408821969397e+00,1.106719408978557695e+00,1.106719408995407328e+00,1.106719409323404069e+00,1.106719409886729455e+00,1.106719410825730332e+00,9.615550719499895704e-01
1.519911082952933080e-04,1.106710672906005000e+00,1.106777780180331128e+00,1.106710670553903153e+00,1.106710670581388722e+00,1.106710670639108107e+00,1.106710670644460270e+00,1.106710670777052652e+00,1.106710671030684434e+00,1.106710671024249359e+00,1.106710671474516294e+00,1.106710672400351703e+00,9.615550719499895704e-01
1.747528400007682938e-04,1.106700627362816824e+00,1.106777780107198961e+00,1.106700624787532838e+00,1.106700624786285614e+00,1.106700624836574720e+00,1.106700624943780076e+00,1.106700624957244417e+00,1.106700625194672272e+00,1.106700625663555426e+00,1.106700625635092639e+00,1.106700626409804045e+00,9.615550719499895704e-01
2.009233002565047864e-04,1.106689078126193326e+00,1.106777779763527203e+00,1.106689075850081139e+00,1.106689075890539220e+00,1.106689075891231333e+00,1.106689075982848269e+00,1.106689076175208619e+00,1.106689076189788734e+00,1.106689076612475731e+00,1.106689077314911174e+00,1.106689078256728020e+00,9.615550719499895704e-01
2.310129700083160510e-04,1.106675801898137967e+00,1.106777780564160762e+00,1.106675799078236766e+00,1.106675799111716874e+00,1.106675799181099373e+00,1.106675799184978715e+00,1.106675799336995780e+00,1.106675799652060199e+00,1.106675799658388026e+00,1.106675800135605403e+00,1.106675800883011096e+00,9.615550719499895704e-01
2.656087782946686443e-04,1.106660538063676702e+00,1.106777779547932994e+00,1.106660536262455308e+00,1.106660536287104479e+00,1.106660536336625755e+00,1.106660536335445144e+00,1.106660536439718623e+00,1.106660536638828241e+00,1.106660536640173387e+00,1.106660536915704540e+00,1.106660537334938521e+00,9.615550719499895704e-01
3.053855508833415791e-04,1.106642992742282061e+00,1.106777779648387305e+00,1.106642990729925558e+00,1.106642990724461484e+00,1.106642990768495816e+00,1.106642990859558084e+00,1.106642990862838793e+00,1.106642991055260650e+00,1.106642991408813392e+00,1.106642991347343008e+00,1.106642991713283841e+00,9.615550719499895704e-01
3.511191734215130954e-04,1.106622824894008206e+00,1.106777779428488984e+00,1.106622821518699951e+00,1.106622821557602609e+00,1.106622821554306801e+00,1.106622821638135967e+00,1.106622821811060753e+00,1.106622821815316238e+00,1.106622822151493324e+00,1.106622822697440389e+00,1.106622823521668630e+00,9.615550719499895704e-01
4.037017258596553842e-04,1.106599640720643318e+00,1.106777779179407561e+00,1.106599637009202830e+00,1.106599637039153539e+00,1.106599637033029548e+00,1.106599637093863553e+00,1.106599637218306009e+00,1.106599637218727228e+00,1.106599637461326502e+00,1.106599637879062792e+00,1.106599638428343635e+00,9.615550719499895704e-01
4.641588833612782196e-04,1.106572989796397399e+00,1.106777780103630926e+00,1.106572987342463454e+00,1.106572987333983349e+00,1.106572987391224672e+00,1.106572987509096828e+00,1.106572987512737027e+00,1.106572987762398874e+00,1.106572988241379285e+00,1.106572988168642802e+00,1.106572988793780077e+00,9.615550719499895704e-01
5.336699231206312212e-04,1.106542357392910736e+00,1.106777779478360646e+00,1.106542355703594271e+00,1.106542355748373119e+00,1.106542355738788341e+00,1.106542355829097657e+00,1.106542356011970929e+00,1.106542356011763761e+00,1.106542356350036727e+00,1.106542356901674573e+00,1.106542356683333006e+00,9.615550719499895704e-01
6.135907273413176120e-04,1.106507150972796394e+00,1.106777780239684539e+00,1.106507148671287855e+00,1.106507148759289016e+00,1.106507148749328540e+00,1.106507148823689057e+00,1.106507148972388332e+00,1.106507149264152501e+00,1.106507149232266007e+00,1.106507149656446254e+00,1.106507150163170916e+00,9.615550719499895704e-01
7.054802310718645249e-04,1.106466686985074777e+00,1.106777779797648797e+00,1.106466676622391843e+00,1.106466685078697942e+00,1.106466685139842809e+00,1.106466685129381622e+00,1.106466685250555804e+00,1.106466685485899326e+00,1.106466685457137666e+00,1.106466685789327498e+00,1.106466686202031813e+00,9.615550719499895704e-01
8.111308307896872294e-04,1.106420184290497488e+00,1.106777779588711708e+00,1.106419765036962266e+00,1.106420182552783960e+00,1.106420182605858393e+00,1.106420182710480038e+00,1.106420182701363331e+00,1.106420182907240868e+00,1.106420183283865821e+00,1.106420183888634057e+00,1.106420183568561422e+00,9.615550719499895704e-01
9.326033468832199040e-04,1.106366745434684162e+00,1.106777779481266766e+00,1.106358534033527574e+00,1.106366743586075563e+00,1.106366743566560062e+00,1.106366743651988616e+00,1.106366743821289633e+00,1.106366743809396258e+00,1.106366744123489010e+00,1.106366744651816836e+00,1.106366745373207561e+00,9.615550719499895704e-01
1.072267222010323115e-03,1.106305339721850522e+00,1.106777779578962617e+00,1.106225291311245140e+00,1.106305338081227552e+00,1.106305338083410472e+00,1.106305338150799011e+00,1.106305338278123829e+00,1.106305338512984848e+00,1.106305338452826970e+00,1.106305338726414789e+00,1.106305339078547778e+00,9.615550719499895704e-01
1.232846739442065853e-03,1.106234786291896199e+00,1.106777779340094359e+00,1.105776776916752135e+00,1.106234780164852882e+00,1.106234784890816503e+00,1.106234784867366150e+00,1.106234784976670271e+00,1.106234785176956503e+00,1.106234785517454799e+00,1.106234785370690865e+00,1.106234785676177612e+00,9.615550719499895704e-01
1.417474162926804808e-03,1.106153731202674351e+00,1.106777779528123506e+00,1.104407978941569501e+00,1.106153464043273749e+00,1.106153729298021027e+00,1.106153729393246188e+00,1.106153729361642135e+00,1.106153729527994178e+00,1.106153729819278508e+00,1.106153729709755673e+00,1.106153729994549639e+00,9.615550719499895704e-01
1.629750834620643553e-03,1.106060621526456567e+00,1.106777780619696561e+00,1.101181855917319652e+00,1.106054831426191543e+00,1.106060619065439399e+00,1.106060619032338765e+00,1.106060619209504825e+00,1.106060619549570578e+00,1.106060619496689768e+00,1.106060619995176353e+00,1.106060620612775214e+00,9.615550719499895704e-01
