# alpha,hub_mean,hub_std
1.578331405652117247e+01,1.604327658548397317e-01,1.085850929279393549e-02
2.502640096417918159e+01,1.044314524160833563e-01,5.183960897079851853e-03
3.968246104569480082e+01,6.400845225554346873e-02,2.392308188572523590e-03
6.292146109610344240e+01,4.147580768881670849e-02,2.596382796206376815e-03
9.976977642363200971e+01,2.662929465263440612e-02,1.488965675084960886e-03
