# delta_large,l2,l1,Huber,BO
1.000000000000000021e-02,9.990197042507209524e-02,1.455300755982451566e-01,9.902150138760634768e-02,9.901967962596547324e-02
1.097498765493056840e-02,9.998791082006119879e-02,1.455301087150970840e-01,9.902168104277597749e-02,9.901969402695376399e-02
1.204503540258781112e-02,1.000822033872430517e-01,1.455301337577457055e-01,9.902187020226560499e-02,9.901971183786240083e-02
1.321941148466028795e-02,1.001856666558742504e-01,1.455301503613246616e-01,9.902207807703367060e-02,9.901972255509727816e-02
1.450828778495940295e-02,1.002991883081361113e-01,1.455301910306046054e-01,9.902230490864827317e-02,9.901974695702198126e-02
1.592282793341093933e-02,1.004237414554731700e-01,1.455302307569599218e-01,9.902255087583800020e-02,9.901976831238801235e-02
1.747528400007682808e-02,1.005604068465582035e-01,1.455302905381041789e-01,9.902283021476621094e-02,9.901979288365669873e-02
1.917910261672488986e-02,1.007103351947331582e-01,1.455303357496533501e-01,9.902312439066185412e-02,9.901981779669433159e-02
2.104904144512021943e-02,1.008748103429395471e-01,1.455303754809789130e-01,9.902343589175122140e-02,9.901983968971195260e-02
2.310129700083158114e-02,1.010552635201922289e-01,1.455304452631653866e-01,9.902379214235113025e-02,9.901987651785970623e-02
2.535364493970111363e-02,1.012532021828627116e-01,1.455304912924191285e-01,9.902416167302274808e-02,9.901991093871065353e-02
2.782559402207126012e-02,1.014703379478401057e-01,1.455305669278805780e-01,9.902457110168594312e-02,9.901994541214509393e-02
3.053855508833412322e-02,1.017085194114986102e-01,1.455306512655627493e-01,9.902502305241855929e-02,9.901998709138981614e-02
3.351602650938840383e-02,1.019697581283658394e-01,1.455307328506763032e-01,9.902550739887572284e-02,9.902002963741796115e-02
3.678379771828634015e-02,1.022562785694736132e-01,1.455308195007618544e-01,9.902603669725262847e-02,9.902007765087295077e-02
4.037017258596557745e-02,1.025705078959000538e-01,1.455309256541488239e-01,9.902661220390651664e-02,9.902013021305355878e-02
4.430621457583877598e-02,1.029150943303323018e-01,1.455310255007529197e-01,9.902723448313466292e-02,9.902018747642671315e-02
4.862601580065353812e-02,1.032929597403928756e-01,1.455311591209915711e-01,9.902792466014931350e-02,9.902025180437878937e-02
5.336699231206312732e-02,1.037072478084481997e-01,1.455312801530561639e-01,9.902865402711658049e-02,9.902032014689488015e-02
5.857020818056673378e-02,1.041614600900253595e-01,1.455314253569672811e-01,9.902945747243041552e-02,9.902039439059806547e-02
6.428073117284319182e-02,1.046593892816829463e-01,1.455315952163327431e-01,9.903033860541565758e-02,9.902047887753373523e-02
7.054802310718645553e-02,1.052051582635187277e-01,1.455317659048180889e-01,9.903128030167063223e-02,9.902056672471959420e-02
7.742636826811276352e-02,1.058033202926242922e-01,1.455319643029691079e-01,9.903231721183969327e-02,9.902066776842133322e-02
8.497534359086438005e-02,1.064587948529776007e-01,1.455321734333685502e-01,9.903343589265212188e-02,9.902077334063830172e-02
9.326033468832199691e-02,1.071769773885247190e-01,1.455324042684096320e-01,9.903465241483444537e-02,9.902089209482500820e-02
1.023531021899026922e-01,1.079637453172970218e-01,1.455326602281048487e-01,9.903597646785211595e-02,9.902102059785966581e-02
1.123324032978026549e-01,1.088254865626925305e-01,1.455329388507746735e-01,9.903741956085321263e-02,9.902116334075472537e-02
1.232846739442065853e-01,1.097691694557807462e-01,1.455332467502099547e-01,9.903898496289453846e-02,9.902131736323349642e-02
1.353047774579807516e-01,1.108023560201270019e-01,1.455335843097382842e-01,9.904067560829887817e-02,9.902149067942422889e-02
1.484968262254463545e-01,1.119332845372869034e-01,1.455339357853970839e-01,9.904251221314619436e-02,9.902167220996238584e-02
1.629750834620643518e-01,1.131708976550218626e-01,1.455343544900689068e-01,9.904451680566728200e-02,9.902187450484978282e-02
1.788649529057435017e-01,1.145248748776399594e-01,1.455347977779934965e-01,9.904669364555696021e-02,9.902209682194151874e-02
1.963040650040272506e-01,1.160057034647907770e-01,1.455352859698342272e-01,9.904905062976343544e-02,9.902233914935421044e-02
2.154434690031886701e-01,1.176247440102364816e-01,1.455358216952160610e-01,9.905161374313342648e-02,9.902260521681616190e-02
2.364489412645407185e-01,1.193942541043011563e-01,1.455364102039227170e-01,9.905439678915750612e-02,9.902289642969330785e-02
2.595024211399737379e-01,1.213274513379591912e-01,1.455370427007425249e-01,9.905741197360451444e-02,9.902321159971938513e-02
2.848035868435804807e-01,1.234385862791520516e-01,1.455377593149984605e-01,9.906069262451744351e-02,9.902356316770000166e-02
3.125715849688235348e-01,1.257429306810751157e-01,1.455385156533808289e-01,9.906424609237896028e-02,9.902394304176509454e-02
3.430469286314919430e-01,1.282569050124737764e-01,1.455393728985010515e-01,9.906810644264285592e-02,9.902436181483309507e-02
3.764935806792471529e-01,1.309980461720650080e-01,1.455403135969028927e-01,9.907229876569045857e-02,9.902481108446492541e-02
4.132012400115334105e-01,1.339850676987366374e-01,1.455413449837388296e-01,9.907684498754742997e-02,9.902531691005789227e-02
4.534878508128582508e-01,1.372378777328620014e-01,1.455424578732882335e-01,9.908177196153222788e-02,9.902586190810469535e-02
4.977023564332114236e-01,1.407775917468536697e-01,1.455436940713488170e-01,9.908712074280501270e-02,9.902646091753442015e-02
5.462277217684337050e-01,1.446265176281629206e-01,1.455450669284705789e-01,9.909292830079530212e-02,9.902711773424277553e-02
5.994842503189409255e-01,1.488081242481644750e-01,1.455465421518307156e-01,9.909921686200506841e-02,9.902782978814417270e-02
6.579332246575683163e-01,1.533470205272775555e-01,1.455481892194303573e-01,9.910605134943506478e-02,9.902861692693898377e-02
7.220809018385471179e-01,1.582688224990429493e-01,1.455499803369839640e-01,9.911344229153962182e-02,9.902947551263618919e-02
7.924828983539186078e-01,1.636001303012228902e-01,1.455519357252992307e-01,9.912145805367966744e-02,9.903041269142609515e-02
8.697490026177834288e-01,1.693683184847942780e-01,1.455540930309140446e-01,9.913015222401933002e-02,9.903143882936560338e-02
9.545484566618346323e-01,1.756013919357108932e-01,1.455564794731099010e-01,9.913959249167958454e-02,9.903256669293813985e-02
1.047615752789665011e+00,1.823277273518582042e-01,1.455590657118479569e-01,9.914979250147015755e-02,9.903379527656452908e-02
1.149756995397736903e+00,1.895758649519003747e-01,1.455619340625509128e-01,9.916087004825291373e-02,9.903514217958475641e-02
1.261856883066021062e+00,1.973741192379370180e-01,1.455650698254009612e-01,9.917286629325294811e-02,9.903661421788600983e-02
1.384886371393873272e+00,2.057502491346721030e-01,1.455684945936526198e-01,9.918585206379404440e-02,9.903822692270347616e-02
1.519911082952934755e+00,2.147310259095887019e-01,1.455722794626344019e-01,9.919993366461543616e-02,9.903999273057384478e-02
1.668100537200059019e+00,2.243417361203992044e-01,1.455764098893019831e-01,9.921517762327924927e-02,9.904192363868147275e-02
1.830738280295369558e+00,2.346056778107286078e-01,1.455809710021784831e-01,9.923169754523897268e-02,9.904403754975366070e-02
2.009233002565047776e+00,2.455435570331900852e-01,1.455859644859074375e-01,9.924957660578370700e-02,9.904635212762957774e-02
