# epsilons,l2,l1,Huber,BO
1.000000000000000048e-04,1.007001767550086413e-05,1.571230007391122285e-05,1.001218907248357937e-05,1.000527860572919536e-05
1.341376488498147721e-04,1.009815520092161023e-05,1.571337009487194791e-05,1.001601444783339900e-05,1.000661087835474916e-05
1.799290883895623570e-04,1.013955600903670984e-05,1.571486464202465072e-05,1.002129597260648097e-05,1.000834341824408114e-05
2.413526487626642392e-04,1.020166077725370712e-05,1.571696535429545349e-05,1.002866957300341255e-05,1.001058360128315172e-05
3.237447684869894263e-04,1.029684349718174019e-05,1.572001026772795740e-05,1.003915631603291558e-05,1.001352489748974506e-05
4.342636207227237085e-04,1.044583060205717118e-05,1.572444452424548444e-05,1.005423249988979251e-05,1.001734155225975087e-05
5.825110106475391318e-04,1.068401849613209720e-05,1.573101746288330105e-05,1.007620126025621232e-05,1.002228302482421896e-05
7.813665739739041310e-04,1.107252904786193426e-05,1.574098560852554840e-05,1.010864334061167824e-05,1.002869425825725358e-05
1.048106751226943753e-03,1.171787625176001768e-05,1.575646823792631324e-05,1.015710750484899449e-05,1.003704361290935765e-05
1.405905753531999647e-03,1.280694293326334332e-05,1.578096726051470000e-05,1.023005409450661318e-05,1.004785521607765020e-05
1.885848922832097929e-03,1.466983921183384609e-05,1.582061893579123080e-05,1.034058947135818585e-05,1.006190166696896426e-05
2.529633405946536684e-03,1.789205245716907200e-05,1.588602176871845018e-05,1.050875063679512778e-05,1.008012747871767090e-05
3.393190775256175150e-03,2.351578128156894820e-05,1.599578634303711056e-05,1.076530481713966481e-05,1.010375897259052635e-05
4.551546326917435895e-03,3.340119269013008818e-05,1.618290523230925260e-05,1.115784972260946972e-05,1.013444784503381157e-05
6.105337229237159380e-03,5.087492820377015335e-05,1.650608844494527716e-05,1.176089176957439975e-05,1.017430276961661662e-05
8.189555813651159741e-03,8.189544094094891591e-05,1.707062615574628239e-05,1.269387953928280410e-05,1.022613907197822414e-05
1.098527761967498483e-02,1.371472264422024523e-04,1.806636747070378135e-05,1.415429248852184685e-05,1.029367343685638758e-05
1.473539311865692397e-02,2.358058695839382324e-04,1.983781309178311858e-05,1.648095534489968372e-05,1.038187061097595176e-05
1.976570987814381397e-02,4.123081518379034804e-04,2.301449811703548676e-05,2.027766759704618948e-05,1.049739590552878354e-05
2.651325850901773210e-02,7.285279800470778611e-04,2.875688956205380009e-05,2.665708323679183422e-05,1.064951956997184368e-05
3.556426159746984422e-02,1.295676232435427622e-03,3.922684760837569229e-05,3.772002339674784821e-05,1.085101950182298935e-05
4.770506433764362675e-02,2.313695373239665898e-03,5.850877567503687260e-05,5.749709751823317561e-05,1.112026537497534662e-05
6.399045168480668733e-02,4.142127555561980756e-03,9.446424649794948891e-05,9.382373620114847768e-05,1.148424962293947971e-05
8.583528737837647915e-02,7.427608608317148864e-03,1.626117776676316851e-04,1.622243630916564427e-04,1.198407205071916337e-05
1.151374363728360217e-01,1.333324234890231885e-02,2.946677206012715544e-04,2.944406829912260548e-04,1.268559372202826552e-05
1.544426500964737048e-01,2.395127796499085804e-02,5.586908574113369497e-04,5.585603952817930207e-04,1.370056913196915360e-05
2.071657396607562429e-01,4.304559251944173326e-02,1.111327889783408907e-03,1.111253717521076823e-03,1.523452815677117655e-05
2.778872524032669489e-01,7.738757302048449027e-02,2.352887037832429584e-03,2.352845028831040963e-03,1.770867268491294055e-05
3.727514268270927245e-01,1.391596767970291193e-01,5.491158940173601621e-03,5.491135078836695271e-03,2.213244207838194200e-05
5.000000000000000000e-01,2.502800280455679260e-01,1.541403507236238646e-02,1.541402138156322543e-02,3.160529951307111673e-05
