# epsilons,l2,l1,Huber,BO
1.000000000000000048e-04,5.745124801785473911e-01,5.889282196998983920e-01,5.744256056500387508e-01,5.743838648049317541e-01
1.089841479985287007e-04,5.745436020216899697e-01,5.889414043077675354e-01,5.744477216190075897e-01,5.744023135162985572e-01
1.187754451496519491e-04,5.745774907039877810e-01,5.889558136692826240e-01,5.744716727862061445e-01,5.744219533312622250e-01
1.294464069278079583e-04,5.746144301561609824e-01,5.889715158155173214e-01,5.744976484906436642e-01,5.744435645839347515e-01
1.410760637049798111e-04,5.746546775895206016e-01,5.889886819576028998e-01,5.745258000826010125e-01,5.744667736568636052e-01
1.537505460587338172e-04,5.746985439564209486e-01,5.890075761366482254e-01,5.745563214452360512e-01,5.744917422656548034e-01
1.675637226651963423e-04,5.747463630513474087e-01,5.890278312036513197e-01,5.745894504859614393e-01,5.745189322163815060e-01
1.826178955012817604e-04,5.747984124584567533e-01,5.890500239531869520e-01,5.746252641371023540e-01,5.745483643292941256e-01
1.990245575049151821e-04,5.748551263238639297e-01,5.890742122011336512e-01,5.746640481465377093e-01,5.745802356569550406e-01
2.169052183045736210e-04,5.749168947085910863e-01,5.891005708674632579e-01,5.747060606019158691e-01,5.746147125009806178e-01
2.363923041335880607e-04,5.749842343879070228e-01,5.891292697063816863e-01,5.747516516761816963e-01,5.746520227311949780e-01
2.576301385940816982e-04,5.750575325913289682e-01,5.891605758430054074e-01,5.748009093539891978e-01,5.746923943518023048e-01
2.807760115341883145e-04,5.751374394082870989e-01,5.891946384443811358e-01,5.748543723413395146e-01,5.747360414943315510e-01
3.060013439547857954e-04,5.752244430035178269e-01,5.892317694365623026e-01,5.749121841157106561e-01,5.747832865224615784e-01
3.334929575731706165e-04,5.753191821791254768e-01,5.892722202126019493e-01,5.749747456995766282e-01,5.748343551921137884e-01
3.634544584462144558e-04,5.754224082474284074e-01,5.893162938244700388e-01,5.750425380955860311e-01,5.748896005355095262e-01
3.961077449002729550e-04,5.755347924038254348e-01,5.893643083807587058e-01,5.751158329107428635e-01,5.749493330395996082e-01
4.316946509357480022e-04,5.756572226246619017e-01,5.894165883327469047e-01,5.751952048523547578e-01,5.750139496324860877e-01
4.704787372775474756e-04,5.757905347785401418e-01,5.894735423965256071e-01,5.752811008603422316e-01,5.750837728960469519e-01
5.127472433361707953e-04,5.759357216015963399e-01,5.895355752563190554e-01,5.753740883521509808e-01,5.751592295152015977e-01
5.588132145358679298e-04,5.760937762127920081e-01,5.896031370701660945e-01,5.754746186609061009e-01,5.752408408206843848e-01
6.090178207651060537e-04,5.762658672123808223e-01,5.896767145371011321e-01,5.755833429606050933e-01,5.753290141975944127e-01
6.637328831200574363e-04,5.764531603934741621e-01,5.897568559865606908e-01,5.757008557179401631e-01,5.754243147284405779e-01
7.233636276544640805e-04,5.766570630214280513e-01,5.898441194891476114e-01,5.758280063867811105e-01,5.755272579182669768e-01
7.883516865304673101e-04,5.768789841083590275e-01,5.899391260384734270e-01,5.759654554493545131e-01,5.756386359397231978e-01
8.591783687972606807e-04,5.771204959459135253e-01,5.900425666872015640e-01,5.761140435609115595e-01,5.757586388362416763e-01
9.363682250213513011e-04,5.773832819576862896e-01,5.901551818258701232e-01,5.762746296111822542e-01,5.758885692250818034e-01
1.020492932168464610e-03,5.776691957376856035e-01,5.902776951245549686e-01,5.764481748766534519e-01,5.760287408835744749e-01
1.112175527509004763e-03,5.779802299145204714e-01,5.904112003733024139e-01,5.766357063773204228e-01,5.761799140674370712e-01
1.212095022903831015e-03,5.783184865842929678e-01,5.905563772076840579e-01,5.768382351642658001e-01,5.763434675324941026e-01
1.320991433644310223e-03,5.786863577001668535e-01,5.907144835004420891e-01,5.770570502072335239e-01,5.765198765427769212e-01
1.439671259090799602e-03,5.790862770428251149e-01,5.908864662931554435e-01,5.772932669240788961e-01,5.767101204024975836e-01
