# delta_large,l2,l1,Huber,BO
7.054802310718645553e-02,7.362733453977976517e-02,6.159993446045586296e-02,5.584906670330092027e-02,5.410092228337026743e-02
7.742636826811269413e-02,7.382100378320810563e-02,6.375803624111631152e-02,5.745246543785453852e-02,5.580250452517110382e-02
8.497534359086446332e-02,7.403344088993835115e-02,6.598371788496892876e-02,5.906739731645860303e-02,5.748174576574616168e-02
9.326033468832199691e-02,7.426647326030666463e-02,6.827709101731516128e-02,6.068847446559155756e-02,5.913645404896850089e-02
1.023531021899026366e-01,7.452207521249709643e-02,7.063810188817098989e-02,6.230973442599840872e-02,6.076465506283645901e-02
1.123324032978027659e-01,7.480242559347782816e-02,7.306650696417826829e-02,6.392466344674763157e-02,6.236470501958302215e-02
1.232846739442066547e-01,7.510989764943909464e-02,7.556187481254728056e-02,6.552625357630459391e-02,6.393526437639640569e-02
1.353047774579807516e-01,7.544708729087323817e-02,7.812357905269018410e-02,6.710709092008282362e-02,6.547547426158895068e-02
1.484968262254464932e-01,7.581683816601159087e-02,8.075079073952684539e-02,6.865953823913306664e-02,6.698495455886965821e-02
1.629750834620644351e-01,7.622227384435342756e-02,8.344246601780747064e-02,7.017598934156699109e-02,6.846392614125007547e-02
1.788649529057435017e-01,7.666678994074982434e-02,8.619733906132798218e-02,7.164925750088024792e-02,6.991325548639493181e-02
1.963040650040271395e-01,7.715410065029004727e-02,8.901390553866161959e-02,7.307311648495318224e-02,7.133454877063560851e-02
2.154434690031884481e-01,7.768828950293471536e-02,9.189049787507186373e-02,7.444306259628619138e-02,7.273021763799591977e-02
2.364489412645408295e-01,7.827377267918089743e-02,9.482511274156157910e-02,7.575721403346946659e-02,7.410354519652651017e-02
2.595024211399737379e-01,7.891541290074033377e-02,9.781559315012300360e-02,7.701737363449567830e-02,7.545876248645844164e-02
2.848035868435802032e-01,7.961848331266629941e-02,1.008594905384794238e-01,7.822995787164144232e-02,7.680110833068676257e-02
3.125715849688237014e-01,8.038876232386615861e-02,1.039542343461858920e-01,7.940654953517123360e-02,7.813691579487258565e-02
3.430469286314919430e-01,8.123251638493678151e-02,1.070968840843105063e-01,8.056346621695631427e-02,7.947365776888926092e-02
3.764935806792469308e-01,8.215659152113152786e-02,1.102843826692099238e-01,8.172058456450259634e-02,8.082005835046079945e-02
4.132012400115338546e-01,8.316843129303208570e-02,1.135134393630570226e-01,8.289943308066560768e-02,8.218616995139949033e-02
4.534878508128584174e-01,8.427613416546297920e-02,1.167805789323350663e-01,8.412164493207985316e-02,8.358345196582195324e-02
4.977023564332111460e-01,8.548846463295101117e-02,1.200820834079032728e-01,8.540805604008472329e-02,8.502491066344153303e-02
5.462277217684342601e-01,8.681498775757479081e-02,1.234141430023110164e-01,8.677866675706247257e-02,8.652524197689903662e-02
5.994842503189411476e-01,8.826600493783631762e-02,1.267727399168290248e-01,8.825279347656245221e-02,8.810088358830814315e-02
6.579332246575682053e-01,8.985272016395606798e-02,1.301537467631899148e-01,8.984934915745812489e-02,8.977020104544986001e-02
7.220809018385467848e-01,9.158722429114751762e-02,1.335529151341985354e-01,9.158677425189742927e-02,9.155346133017794319e-02
7.924828983539177196e-01,9.348257765832479471e-02,1.369659097272399872e-01,9.348256279093258847e-02,9.347273067572725580e-02
8.697490026177834288e-01,9.555281832243855966e-02,1.403883129805021390e-01,9.555281831395867620e-02,9.555139317054961445e-02
9.545484566618341882e-01,9.781309158022932770e-02,1.438156637738685628e-01,9.781309158022888361e-02,9.781307568446773182e-02
1.047615752789665233e+00,1.002796323045260785e-01,1.472434956272437034e-01,1.002796323045247462e-01,1.002796129060120611e-01
1.149756995397736903e+00,1.029698198492718930e-01,1.506673097835216080e-01,1.029698170393373857e-01,1.029679278227795258e-01
1.261856883066021062e+00,1.059022422159348054e-01,1.540826722102939250e-01,1.059013972586830832e-01,1.058867148815765269e-01
1.384886371393873050e+00,1.090966936573369850e-01,1.574851847218696754e-01,1.090839825718101785e-01,1.090345838243431675e-01
1.519911082952934755e+00,1.125741834562836718e-01,1.608705000772372440e-01,1.125069927060209363e-01,1.124004186168211517e-01
1.668100537200059241e+00,1.163569775179873478e-01,1.642343870269586947e-01,1.161414651806422782e-01,1.159650722613685403e-01
1.830738280295369780e+00,1.204685463550436708e-01,1.675727483501525672e-01,1.199483165479102720e-01,1.197033062446704044e-01
2.009233002565047776e+00,1.249335482193962843e-01,1.708816199043989847e-01,1.238853063146514444e-01,1.235855068635367537e-01
2.205130739903045534e+00,1.297777233139925102e-01,1.741571416814577944e-01,1.279114785108361740e-01,1.275792084799538539e-01
2.420128264794383366e+00,1.350278928497778974e-01,1.773957210362251402e-01,1.319897944828940517e-01,1.316491837518235508e-01
