# epsilons,l2,l1,Huber,BO
1.000000000000000082e-05,1.001511197507021222e-04,1.572002035796771224e-04,1.001033041982957172e-04,1.000954182909241652e-04
1.172102297533479327e-05,1.001616364511015433e-04,1.572007553110044142e-04,1.001053941551699467e-04,1.000962665904658877e-04
1.373823795883263749e-05,1.001739567856319013e-04,1.572013952642059564e-04,1.001078027786928004e-04,1.000972323765836336e-04
1.610262027560939167e-05,1.001883939866221596e-04,1.572021420068736575e-04,1.001105816493819134e-04,1.000983652157394488e-04
1.887391822135095769e-05,1.002053093097643455e-04,1.572030101304466854e-04,1.001137842702171099e-04,1.000996571749457331e-04
2.212216291070450108e-05,1.002251294304201679e-04,1.572040208281944018e-04,1.001174753518796479e-04,1.001011439192289743e-04
2.592943797404667001e-05,1.002539166525817649e-04,1.572052285989666842e-04,1.001217582206059831e-04,1.001028827771754948e-04
3.039195382313194870e-05,1.002805214316282445e-04,1.572066320894016656e-04,1.001266889746332822e-04,1.001048798697778963e-04
3.562247890262444433e-05,1.003117524036589714e-04,1.572082738274804825e-04,1.001323742648718707e-04,1.001071835216027495e-04
4.175318936560400623e-05,1.003484406130183970e-04,1.572102112146200881e-04,1.001389440791200514e-04,1.001098559931801191e-04
4.893900918477499072e-05,1.003915321537984795e-04,1.572124755870873969e-04,1.001465129988332592e-04,1.001129354598617738e-04
5.736152510448681103e-05,1.004421755126383431e-04,1.572151343074423835e-04,1.001552419859219611e-04,1.001164945170218701e-04
6.723357536499334551e-05,1.005016962429827743e-04,1.572182309590441918e-04,1.001652820042941983e-04,1.001205845186925458e-04
7.880462815669904636e-05,1.005717311723941521e-04,1.572218842391670535e-04,1.001768704624872441e-04,1.001253264665269427e-04
9.236708571873865803e-05,1.006541472572397566e-04,1.572261533939744993e-04,1.001902037154334124e-04,1.001307861501210539e-04
1.082636733874054103e-04,1.007512182451542060e-04,1.572311606077292367e-04,1.002055568262161245e-04,1.001370876920759656e-04
1.268961003167922124e-04,1.008656311953792795e-04,1.572370229290243060e-04,1.002232196567476308e-04,1.001443506005728068e-04
1.487352107293511694e-04,1.010006251629391727e-04,1.572439020121052522e-04,1.002462503585377362e-04,1.001527340334096294e-04
1.743328822199987391e-04,1.011600784006638776e-04,1.572519793522353382e-04,1.002689092801656301e-04,1.001624133871725775e-04
2.043359717856941659e-04,1.013486291610021794e-04,1.572614361082802503e-04,1.002950900930166256e-04,1.001735644238221923e-04
2.395026619987485961e-04,1.015718958738975886e-04,1.572724971692363027e-04,1.003253460327702129e-04,1.001863962875049197e-04
2.807216203941175869e-04,1.018367570373435171e-04,1.572854885889540810e-04,1.003603862115287626e-04,1.002012100790317106e-04
3.290344562312667626e-04,1.021515147463514239e-04,1.573007095729828109e-04,1.004009644134384871e-04,1.002182748557345349e-04
3.856620421163472427e-04,1.025263821636812622e-04,1.573185556911216310e-04,1.004480132731355724e-04,1.002379407097908626e-04
4.520353656360240530e-04,1.029739107010207988e-04,1.573394665308480711e-04,1.005026140317166750e-04,1.002605892619357064e-04
5.298316906283707115e-04,1.035096834958171286e-04,1.573640009071564094e-04,1.005660945978537057e-04,1.002866972525939815e-04
6.210169418915616581e-04,1.041530675904844827e-04,1.573927758728999038e-04,1.006400021288378355e-04,1.003167791320258573e-04
7.278953843983146073e-04,1.049283037337644942e-04,1.574264888855037015e-04,1.007261666994274663e-04,1.003514026305385443e-04
8.531678524172805859e-04,1.058660051216353537e-04,1.574660097705127271e-04,1.008268429583125680e-04,1.003912663321004928e-04
1.000000000000000021e-03,1.070050533653610358e-04,1.575131619198089084e-04,1.009448026778603236e-04,1.004372158761590583e-04
