# epsilons,l2,l1,Huber,BO
4.042251540479181553e-03,1.366253354365798423e-02,1.712010772431993288e-02,1.142289052595657495e-02,1.112419308799883488e-02
4.405413401348637868e-03,1.390518206134316870e-02,1.713446962130005247e-02,1.144669102039541642e-02,1.113596468954725083e-02
4.801202261272811619e-03,1.416993546222289346e-02,1.715013298629464167e-02,1.147232245032037135e-02,1.114869903462967216e-02
5.232549378134262151e-03,1.445873622407156667e-02,1.716724085207266270e-02,1.149991895663315944e-02,1.116245008321281595e-02
5.702649358361937953e-03,1.477382323249099016e-02,1.718591957187021180e-02,1.152958617689447962e-02,1.117731245164788056e-02
6.214983816554321867e-03,1.511761641755193786e-02,1.720629119121253048e-02,1.156154181747326426e-02,1.119332398834993469e-02
6.773347160718162611e-03,1.549282314386091208e-02,1.722854695492936905e-02,1.159593886582799271e-02,1.121066498657374844e-02
7.381874694091216001e-03,1.590228324817677397e-02,1.725287168315969843e-02,1.163298631432185815e-02,1.122937465610052143e-02
8.045073241674308845e-03,1.634926604851139054e-02,1.727942200849508225e-02,1.167287942322658978e-02,1.124957314912000683e-02
8.767854528296360056e-03,1.683715815869302190e-02,1.730842347909544721e-02,1.171584588474883226e-02,1.127143394420571099e-02
9.555571555414196089e-03,1.736987759835573186e-02,1.734012616761448911e-02,1.176215698871274640e-02,1.129505160613342163e-02
1.041405824605791744e-02,1.795166305282269725e-02,1.737478772466993782e-02,1.181208240267661580e-02,1.132057875812808589e-02
1.134967265153673244e-02,1.858705532014681694e-02,1.741268632925274673e-02,1.186590904697149007e-02,1.134820844066442014e-02
1.236934403989932776e-02,1.928119718476106748e-02,1.745412957477054938e-02,1.192398285087836740e-02,1.137807608282781491e-02
1.348062421489105989e-02,2.010998277203235318e-02,1.749947051330158487e-02,1.198664197318999314e-02,1.141042096389166538e-02
1.469174344548236991e-02,2.093426239588769278e-02,1.754910579791824077e-02,1.205430079676883537e-02,1.144542118724789503e-02
1.601167142018862857e-02,2.183558044083699912e-02,1.760343904491512568e-02,1.212739722242428542e-02,1.148333842704907237e-02
1.745018367761649869e-02,2.282140890128925292e-02,1.766297003940420218e-02,1.220640192189326179e-02,1.152439092402146592e-02
1.901793400522864413e-02,2.389996400597249604e-02,1.772818799989073213e-02,1.229186510750723826e-02,1.156887150414265264e-02
2.072653334252090238e-02,2.508039454781796351e-02,1.779971154896120566e-02,1.238436014860311296e-02,1.161710707602514603e-02
2.258863577297735500e-02,2.637278987062341429e-02,1.787816195268487895e-02,1.248456310247414436e-02,1.166944946708703412e-02
2.461803224167023740e-02,2.778834647837946648e-02,1.796428836790120442e-02,1.259319710351691768e-02,1.172628719628643346e-02
2.682975269258740594e-02,2.933939278397046380e-02,1.805888484265549820e-02,1.271108519741792620e-02,1.178802126312961107e-02
2.924017738212866813e-02,3.103965779289841187e-02,1.816280300938077907e-02,1.283912866017900001e-02,1.185511171700781574e-02
3.186715819317142290e-02,3.290446637377741901e-02,1.827719682950657010e-02,1.297839994476768233e-02,1.192812791712971610e-02
3.473015084817117348e-02,3.495084652596358588e-02,1.840323450853653675e-02,1.313007660988851910e-02,1.200758444197080888e-02
3.785035900048314139e-02,3.719762918618174652e-02,1.854206365543409341e-02,1.329542456441457077e-02,1.209419565346792069e-02
4.125089127106093545e-02,3.966596487144502525e-02,1.869524305612468851e-02,1.347597656368204611e-02,1.218867423985192655e-02
4.495693239356520626e-02,4.237948768324839577e-02,1.886447069698937717e-02,1.367344633288625211e-02,1.229185894367834653e-02
4.899592973540154578e-02,4.536458455335146134e-02,1.905162833947482426e-02,1.388978493277015502e-02,1.240465557209202707e-02
5.339779657608515612e-02,4.865089537273159515e-02,1.925892960405684029e-02,1.412724732288062057e-02,1.252815182116906456e-02
