# delta_large,l2,l1,Huber,BO
1.000000000000000021e-02,6.062484261536117414e-01,7.644673445280480983e-01,6.062484261536105201e-01,6.028184613893696753e-01
1.097498765493056146e-02,6.062578884024787396e-01,7.644844506509568260e-01,6.062578884024798498e-01,6.028419451878526125e-01
1.204503540258782326e-02,6.062678857957158884e-01,7.645031007129403644e-01,6.062678857957128908e-01,6.028594047824029634e-01
1.321941148466028795e-02,6.062792358205936205e-01,7.645234265398830331e-01,6.062792358205989496e-01,6.028832514493381867e-01
1.450828778495939428e-02,6.062921301101243943e-01,7.645455690916218572e-01,6.062921301101216187e-01,6.029064212513217669e-01
1.592282793341092198e-02,6.063053773487286913e-01,7.645696706438597223e-01,6.063053773487249165e-01,6.029315894489790661e-01
1.747528400007683849e-02,6.063204864703787278e-01,7.645958893072729579e-01,6.063204864703735097e-01,6.029570738047912437e-01
1.917910261672488639e-02,6.063366607271626352e-01,7.646243794228839707e-01,6.063366607271596376e-01,6.029829954593464159e-01
2.104904144512020903e-02,6.063540249780507985e-01,7.646553501668131858e-01,6.063540249780471347e-01,6.030116623705004120e-01
2.310129700083160542e-02,6.063747038780753496e-01,7.646889224266922858e-01,6.063747038780681331e-01,6.030434689033571383e-01
2.535364493970111363e-02,6.063963591832857158e-01,7.647253042001349588e-01,6.063963591832804978e-01,6.030752364143858735e-01
2.782559402207124277e-02,6.064196216206014789e-01,7.647647029623642068e-01,6.064196216206023671e-01,6.031045023677150674e-01
3.053855508833415444e-02,6.064464258282309395e-01,7.648073087269662285e-01,6.064464258282271647e-01,6.031459527366984652e-01
3.351602650938842465e-02,6.064752801473365373e-01,7.648533234644319112e-01,6.064752801473356492e-01,6.031810389768706981e-01
3.678379771828634015e-02,6.065057263100628315e-01,7.649029641726632356e-01,6.065057263100601670e-01,6.032146462500688200e-01
4.037017258596553582e-02,6.065404452227656229e-01,7.649565879812704194e-01,6.065404452227654009e-01,6.032637676963255036e-01
4.430621457583882455e-02,6.065779443425277639e-01,7.650138824654733050e-01,6.065779443425228790e-01,6.033052030098952079e-01
4.862601580065353118e-02,6.066193938608579472e-01,7.650755605757444400e-01,6.066193938608535063e-01,6.033477215113716152e-01
5.336699231206309957e-02,6.066660510198886858e-01,7.651416276964683183e-01,6.066660510198913503e-01,6.034039515494959982e-01
5.857020818056667133e-02,6.067153790618645681e-01,7.652123258009390083e-01,6.067153790618603493e-01,6.034579566787617866e-01
6.428073117284321958e-02,6.067697972963899122e-01,7.652877702186142717e-01,6.067697972963898012e-01,6.035172480350349256e-01
7.054802310718645553e-02,6.068301581099364572e-01,7.653681415611817140e-01,6.068301581099301290e-01,6.035784161333530573e-01
7.742636826811269413e-02,6.068956993357856877e-01,7.654537183903431519e-01,6.068956993357833563e-01,6.036427917815192501e-01
8.497534359086446332e-02,6.069677606836972883e-01,7.655440170295971791e-01,6.069677606836922923e-01,6.037105584138675596e-01
9.326033468832199691e-02,6.070475230452928583e-01,7.656397558925343017e-01,6.070475230452877513e-01,6.037898459439514642e-01
1.023531021899026366e-01,6.071346125428107587e-01,7.657407242379173917e-01,6.071346125428098706e-01,6.038751245191034123e-01
1.123324032978027659e-01,6.072304002088301234e-01,7.658472189770105798e-01,6.072304002088255714e-01,6.039622544448450814e-01
1.232846739442066547e-01,6.073348476970528154e-01,7.659583313547000394e-01,6.073348476970490406e-01,6.040565528391190764e-01
1.353047774579807516e-01,6.074497953203933376e-01,7.660748534310443114e-01,6.074497953203943368e-01,6.041591752426571649e-01
1.484968262254464932e-01,6.075748641732607869e-01,7.661963467171403197e-01,6.075748641732573452e-01,6.042702217415865107e-01
1.629750834620644351e-01,6.077135559199399184e-01,7.663225330894427589e-01,6.077135559199411396e-01,6.043909107115833512e-01
1.788649529057435017e-01,6.078653785455315761e-01,7.664533814824001645e-01,6.078653785455275793e-01,6.045214483124644600e-01
1.963040650040271395e-01,6.080315595128218398e-01,7.665887422053565547e-01,6.080315595128205075e-01,6.046631418319514673e-01
2.154434690031884481e-01,6.082146219058005565e-01,7.667279446598276316e-01,6.082146219057956715e-01,6.048240866452442299e-01
2.364489412645408295e-01,6.084139452002141901e-01,7.668708542799754779e-01,6.084139452002274018e-01,6.049930455327844347e-01
2.595024211399737379e-01,6.086330056728264104e-01,7.670166128564213093e-01,6.086330056728215254e-01,6.051780950703240514e-01
2.848035868435802032e-01,6.088733683336514657e-01,7.671658631912736670e-01,6.088733683336476910e-01,6.053813349595245086e-01
3.125715849688237014e-01,6.091362255852630359e-01,7.673167509110030426e-01,6.091362255852574847e-01,6.056005381182101299e-01
3.430469286314919430e-01,6.094252997031713859e-01,7.674704509068179803e-01,6.094252997031694985e-01,6.058468253741837728e-01
3.764935806792469308e-01,6.097407397049500188e-01,7.676231598657796695e-01,6.097407397049453559e-01,6.061075742703548874e-01
4.132012400115338546e-01,6.100875015464197748e-01,7.677809890428404227e-01,6.100875015464208850e-01,6.064007459152481738e-01
