# reg_params,l2,l1,Huber 0.01,Huber 0.02,Huber 0.03,Huber 0.06,Huber 0.10,Huber 0.18,Huber 0.32,Huber 0.56,Huber 1.00,BO
1.000000000000000048e-04,2.877775622249101328e-01,4.144810367125673078e-02,4.107467953691634754e-02,4.075287698975382789e-02,4.023742044314349009e-02,3.944264585998491501e-02,3.836968167480603320e-02,3.745212601704506206e-02,3.866249944956234863e-02,4.873318046461228015e-02,8.373228475562077833e-02,2.270489703223343980e-02
1.149756995397735633e-04,2.877775336874798251e-01,4.144816247660743080e-02,4.108072726607714387e-02,4.075627824538952115e-02,4.023936025215668622e-02,3.944377291936151941e-02,3.837035624478080109e-02,3.745255273379277661e-02,3.866279871190680950e-02,4.873343001344498937e-02,8.373250930455156116e-02,2.270489703223343980e-02
1.321941148466028784e-04,2.877774870504079541e-01,4.144822752861743176e-02,4.108770775474002157e-02,4.076019742644754196e-02,4.024159326768372846e-02,3.944506961780414045e-02,3.837113210058329393e-02,3.745304266452353925e-02,3.866314280875182696e-02,4.873371745998689164e-02,8.373276963699671782e-02,2.270489703223343980e-02
1.519911082952933080e-04,2.877774471701780579e-01,4.144830338704719175e-02,4.109576939894776793e-02,4.076471487234478719e-02,4.024416430946442524e-02,3.944656170198468370e-02,3.837202460964617146e-02,3.745360636096695117e-02,3.866353894447238648e-02,4.873405016881204865e-02,8.373306730679197507e-02,2.270489703223343980e-02
1.747528400007682938e-04,2.877774041638538893e-01,4.144839390489751807e-02,4.110508556535374947e-02,4.076992376870713919e-02,4.024712507476391199e-02,3.944827867845623892e-02,3.837305117759948203e-02,3.745425442611050038e-02,3.866399398634445816e-02,4.873442900997626559e-02,8.373341580241411286e-02,2.270489703223343980e-02
2.009233002565047864e-04,2.877773433655376190e-01,4.144849569396036326e-02,4.111585929773431403e-02,4.077593254395206479e-02,4.025053556461855031e-02,3.945025488909825739e-02,3.837423230567482690e-02,3.745499948105834864e-02,3.866451805799275832e-02,4.873486622320699624e-02,8.373380277437614261e-02,2.270489703223343980e-02
2.310129700083160510e-04,2.877772821873536557e-01,4.144861109591013726e-02,4.112832894557971741e-02,4.078286719505364033e-02,4.025446490844308833e-02,3.945252942405519381e-02,3.837559077061547530e-02,3.745585705213660965e-02,3.866511931726634987e-02,4.873536954079449313e-02,8.373425739460793604e-02,2.270489703223343980e-02
2.656087782946686443e-04,2.877772069788676612e-01,4.144874504015882977e-02,4.114277487326811755e-02,4.079087490581367881e-02,4.025899369451990673e-02,3.945514817484818693e-02,3.837715435210553583e-02,3.745684307764096665e-02,3.866581152063397475e-02,4.873594796718316857e-02,8.373477842045606856e-02,2.270489703223343980e-02
3.053855508833415791e-04,2.877771242192337375e-01,4.144889905075688219e-02,4.115952795173272172e-02,4.080012739524196963e-02,4.026421510731714726e-02,3.945816385557965322e-02,3.837895306759953051e-02,3.745797716735999039e-02,3.866660856274051206e-02,4.873661512495486292e-02,8.373538074824904420e-02,2.270489703223343980e-02
3.511191734215130954e-04,2.877770172211258082e-01,4.144907685105092554e-02,4.117897978049245289e-02,4.081082576641636983e-02,4.027023760437020705e-02,3.946163687995274394e-02,3.838102299112389204e-02,3.745928158882083636e-02,3.866752356879987751e-02,4.873737978857739517e-02,8.373606423826940315e-02,2.270489703223343980e-02
